symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
4755.T,0.1626393810308329,fundamental,0.0,0.0,10,0,True
9501.T,0.1390859329985264,fundamental,0.0,0.0,10,0,True
7201.T,0.0880040398956523,fundamental,0.0,0.0,10,0,True
9434.T,0.0415299963552516,fundamental,0.0,0.0,10,0,True
9432.T,0.0298620449983,fundamental,0.0,0.0,10,0,True
5411.T,0.0,fundamental,0.0,0.0,10,0,True
7751.T,0.0,fundamental,0.0,0.0,10,0,True
7733.T,0.0,fundamental,0.0,0.0,10,0,True
5020.T,0.0,fundamental,0.0,0.0,10,0,True
9202.T,0.0,fundamental,0.0,0.0,10,0,True
6988.T,0.0,fundamental,0.0,0.0,10,0,True
2503.T,0.0,fundamental,0.0,0.0,10,0,True
8830.T,0.0,fundamental,0.0,0.0,10,0,True
7832.T,0.0,fundamental,0.0,0.0,10,0,True
6506.T,0.0,fundamental,0.0,0.0,10,0,True
9020.T,0.0,fundamental,0.0,0.0,10,0,True
3659.T,0.0,fundamental,0.0,0.0,10,0,True
8697.T,0.0,fundamental,0.0,0.0,10,0,True
6326.T,0.0,fundamental,0.0,0.0,10,0,True
9503.T,0.0,fundamental,0.0,0.0,10,0,True
2502.T,0.0,fundamental,0.0,0.0,10,0,True
9502.T,0.0,fundamental,0.0,0.0,10,0,True
5401.T,0.0,fundamental,0.0,0.0,10,0,True
6723.T,0.0,fundamental,0.0,0.0,10,0,True
9201.T,0.0,fundamental,0.0,0.0,10,0,True
8306.T,0.0,fundamental,0.0,0.0,10,0,True
7011.T,0.0,fundamental,0.0,0.0,10,0,True
3382.T,0.0,fundamental,0.0,0.0,10,0,True
6758.T,0.0,fundamental,0.0,0.0,10,0,True
7203.T,0.0,fundamental,0.0,0.0,10,0,True
6501.T,0.0,fundamental,0.0,0.0,10,0,True
1605.T,0.0,fundamental,0.0,0.0,10,0,True
7267.T,0.0,fundamental,0.0,0.0,10,0,True
6702.T,0.0,fundamental,0.0,0.0,10,0,True
8001.T,0.0,fundamental,0.0,0.0,10,0,True
4568.T,0.0,fundamental,0.0,0.0,10,0,True
9433.T,0.0,fundamental,0.0,0.0,10,0,True
9107.T,0.0,fundamental,0.0,0.0,10,0,True
6752.T,0.0,fundamental,0.0,0.0,10,0,True
8591.T,0.0,fundamental,0.0,0.0,10,0,True
7269.T,0.0,fundamental,0.0,0.0,10,0,True
4901.T,0.0,fundamental,0.0,0.0,10,0,True
8725.T,0.0,fundamental,0.0,0.0,10,0,True
8801.T,0.0,fundamental,0.0,0.0,10,0,True
4503.T,0.0,fundamental,0.0,0.0,10,0,True
8802.T,0.0,fundamental,0.0,0.0,10,0,True
8604.T,0.0,fundamental,0.0,0.0,10,0,True
8267.T,0.0,fundamental,0.0,0.0,10,0,True
7270.T,0.0,fundamental,0.0,0.0,10,0,True
4661.T,0.0,fundamental,0.0,0.0,10,0,True
7201.T,0.0880040398956523,price,0.778741645506592,0.06853241083956804,15,15,True
5411.T,0.0,price,0.07866196310185315,0.0,15,15,True
7751.T,0.0,price,-0.3423343681618906,-0.0,15,15,True
7733.T,0.0,price,-1.1335492673354706,-0.0,15,15,True
5020.T,0.0,price,0.9956003551865661,0.0,15,15,True
9202.T,0.0,price,0.10984907437227637,0.0,15,15,True
6988.T,0.0,price,-0.0585376635641056,-0.0,15,15,True
2503.T,0.0,price,0.40624823206620353,0.0,15,15,True
8830.T,0.0,price,0.17668719270629582,0.0,15,15,True
7832.T,0.0,price,-0.7853906573407475,-0.0,15,15,True
6506.T,0.0,price,0.29966177488081164,0.0,15,15,True
9020.T,0.0,price,-0.22896405264157943,-0.0,15,15,True
3659.T,0.0,price,-0.12234299746614025,-0.0,15,15,True
8697.T,0.0,price,0.42482007020108614,0.0,15,15,True
6326.T,0.0,price,1.0965763985096082,0.0,15,15,True
9503.T,0.0,price,0.009463877474369269,0.0,15,15,True
2502.T,0.0,price,-0.22871966618092665,-0.0,15,15,True
9502.T,0.0,price,0.05427007926403001,0.0,15,15,True
5401.T,0.0,price,0.027687397994284203,0.0,15,15,True
6723.T,0.0,price,0.6623587889525093,0.0,15,15,True
9201.T,0.0,price,-0.1733722377107572,-0.0,15,15,True
8306.T,0.0,price,0.17595915031510742,0.0,15,15,True
7011.T,0.0,price,0.5265876076995107,0.0,15,15,True
3382.T,0.0,price,-0.6497434176680523,-0.0,15,15,True
6758.T,0.0,price,-1.084920580365679,-0.0,15,15,True
7203.T,0.0,price,0.306758996399099,0.0,15,15,True
6501.T,0.0,price,-0.30760037744513796,-0.0,15,15,True
1605.T,0.0,price,0.8801681754437675,0.0,15,15,True
7267.T,0.0,price,-0.3551868595379405,-0.0,15,15,True
6702.T,0.0,price,-0.6403520480980394,-0.0,15,15,True
8001.T,0.0,price,0.3506348016747003,0.0,15,15,True
4568.T,0.0,price,-0.8554381529259504,-0.0,15,15,True
9433.T,0.0,price,0.6137365507370709,0.0,15,15,True
9107.T,0.0,price,0.5104485204304462,0.0,15,15,True
6752.T,0.0,price,0.7478247137760643,0.0,15,15,True
8591.T,0.0,price,0.6313750228322881,0.0,15,15,True
7269.T,0.0,price,-0.21871723022904616,-0.0,15,15,True
4901.T,0.0,price,-0.7494594229954684,-0.0,15,15,True
8725.T,0.0,price,0.5220146151042194,0.0,15,15,True
8801.T,0.0,price,-0.8606999434787962,-0.0,15,15,True
4503.T,0.0,price,0.5357267500246614,0.0,15,15,True
8802.T,0.0,price,0.6840127507724996,0.0,15,15,True
8604.T,0.0,price,0.17316237952431277,0.0,15,15,True
8267.T,0.0,price,-0.0227461841817183,-0.0,15,15,True
7270.T,0.0,price,-0.5115965521387046,-0.0,15,15,True
4661.T,0.0,price,-0.9604226614364282,-0.0,15,15,True
9432.T,0.0298620449983,price,-0.2416035048716928,-0.0072147747342254836,15,15,True
9501.T,0.1390859329985264,price,-0.06373395673839907,-0.008864496836647954,15,15,True
9434.T,0.0415299963552516,price,-0.372133045865378,-0.015454684038457824,15,15,True
4755.T,0.1626393810308329,price,-0.8114720365721882,-0.1319773097519301,15,15,True
7201.T,0.0880040398956523,risk_adjusted,0.6340451052706136,0.055798530739878144,4,4,True
9432.T,0.0298620449983,risk_adjusted,0.1786221813322431,0.005334023616637946,4,4,True
5411.T,0.0,risk_adjusted,0.650126864895028,0.0,4,4,True
7751.T,0.0,risk_adjusted,0.32121134377619515,0.0,4,4,True
7733.T,0.0,risk_adjusted,-1.4422962200956935,-0.0,4,4,True
5020.T,0.0,risk_adjusted,1.3219307042959758,0.0,4,4,True
9202.T,0.0,risk_adjusted,0.6295484775757618,0.0,4,4,True
6988.T,0.0,risk_adjusted,-0.483191074521419,-0.0,4,4,True
2503.T,0.0,risk_adjusted,0.14892976719295292,0.0,4,4,True
8830.T,0.0,risk_adjusted,0.560500277412314,0.0,4,4,True
7832.T,0.0,risk_adjusted,-0.818152269657034,-0.0,4,4,True
6506.T,0.0,risk_adjusted,0.25979631298238004,0.0,4,4,True
9020.T,0.0,risk_adjusted,-0.47830085233287745,-0.0,4,4,True
3659.T,0.0,risk_adjusted,-1.100250207254523,-0.0,4,4,True
8697.T,0.0,risk_adjusted,-0.05974690175273173,-0.0,4,4,True
6326.T,0.0,risk_adjusted,0.9283764061096769,0.0,4,4,True
9503.T,0.0,risk_adjusted,0.40343315194868934,0.0,4,4,True
2502.T,0.0,risk_adjusted,-0.0785548941546067,-0.0,4,4,True
9502.T,0.0,risk_adjusted,0.4796039272179682,0.0,4,4,True
5401.T,0.0,risk_adjusted,-0.23125911822475934,-0.0,4,4,True
6723.T,0.0,risk_adjusted,0.6057644725844586,0.0,4,4,True
9201.T,0.0,risk_adjusted,0.39496580224168354,0.0,4,4,True
8306.T,0.0,risk_adjusted,0.5780879141905971,0.0,4,4,True
7011.T,0.0,risk_adjusted,0.19425670292112487,0.0,4,4,True
3382.T,0.0,risk_adjusted,-0.26154437764667804,-0.0,4,4,True
6758.T,0.0,risk_adjusted,-1.263940242588883,-0.0,4,4,True
7203.T,0.0,risk_adjusted,0.7857952841921033,0.0,4,4,True
6501.T,0.0,risk_adjusted,-0.49754991906261015,-0.0,4,4,True
1605.T,0.0,risk_adjusted,0.05293580243646387,0.0,4,4,True
7267.T,0.0,risk_adjusted,-0.04066338970823996,-0.0,4,4,True
6702.T,0.0,risk_adjusted,-1.0155653484703082,-0.0,4,4,True
8001.T,0.0,risk_adjusted,0.47998851810455295,0.0,4,4,True
4568.T,0.0,risk_adjusted,-0.9653497819598786,-0.0,4,4,True
9433.T,0.0,risk_adjusted,0.2883287441066908,0.0,4,4,True
9107.T,0.0,risk_adjusted,0.7379157499800763,0.0,4,4,True
6752.T,0.0,risk_adjusted,0.572060019641507,0.0,4,4,True
8591.T,0.0,risk_adjusted,0.8356808561187206,0.0,4,4,True
7269.T,0.0,risk_adjusted,-0.23131481336458445,-0.0,4,4,True
4901.T,0.0,risk_adjusted,-0.4355416207247061,-0.0,4,4,True
8725.T,0.0,risk_adjusted,2.171489152886335,0.0,4,4,True
8801.T,0.0,risk_adjusted,-0.7460844444411332,-0.0,4,4,True
4503.T,0.0,risk_adjusted,0.570242522727294,0.0,4,4,True
8802.T,0.0,risk_adjusted,0.1855841670288187,0.0,4,4,True
8604.T,0.0,risk_adjusted,0.16599330477863758,0.0,4,4,True
8267.T,0.0,risk_adjusted,-0.6450908176199182,-0.0,4,4,True
7270.T,0.0,risk_adjusted,-1.147862186389893,-0.0,4,4,True
4661.T,0.0,risk_adjusted,-0.781821021908797,-0.0,4,4,True
9434.T,0.0415299963552516,risk_adjusted,-0.466950925438934,-0.01939247023156029,4,4,True
9501.T,0.1390859329985264,risk_adjusted,-0.8830370791666574,-0.12281803602818817,4,4,True
4755.T,0.1626393810308329,risk_adjusted,-1.0611460274639954,-0.17258413309007142,4,4,True
