symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
4755.T,0.1626323501921202,fundamental,0.0,0.0,10,0,True
9501.T,0.1371694037624048,fundamental,0.0,0.0,10,0,True
7201.T,0.0857856244470313,fundamental,0.0,0.0,10,0,True
9434.T,0.0418874335477421,fundamental,0.0,0.0,10,0,True
9432.T,0.0300418899717435,fundamental,0.0,0.0,10,0,True
5411.T,0.0,fundamental,0.0,0.0,10,0,True
7751.T,0.0,fundamental,0.0,0.0,10,0,True
7733.T,0.0,fundamental,0.0,0.0,10,0,True
5020.T,0.0,fundamental,0.0,0.0,10,0,True
9202.T,0.0,fundamental,0.0,0.0,10,0,True
6988.T,0.0,fundamental,0.0,0.0,10,0,True
2503.T,0.0,fundamental,0.0,0.0,10,0,True
8830.T,0.0,fundamental,0.0,0.0,10,0,True
7832.T,0.0,fundamental,0.0,0.0,10,0,True
6506.T,0.0,fundamental,0.0,0.0,10,0,True
9020.T,0.0,fundamental,0.0,0.0,10,0,True
3659.T,0.0,fundamental,0.0,0.0,10,0,True
8697.T,0.0,fundamental,0.0,0.0,10,0,True
6326.T,0.0,fundamental,0.0,0.0,10,0,True
9503.T,0.0,fundamental,0.0,0.0,10,0,True
2502.T,0.0,fundamental,0.0,0.0,10,0,True
9502.T,0.0,fundamental,0.0,0.0,10,0,True
5401.T,0.0,fundamental,0.0,0.0,10,0,True
6723.T,0.0,fundamental,0.0,0.0,10,0,True
9201.T,0.0,fundamental,0.0,0.0,10,0,True
8306.T,0.0,fundamental,0.0,0.0,10,0,True
7011.T,0.0,fundamental,0.0,0.0,10,0,True
3382.T,0.0,fundamental,0.0,0.0,10,0,True
6758.T,0.0,fundamental,0.0,0.0,10,0,True
7203.T,0.0,fundamental,0.0,0.0,10,0,True
6501.T,0.0,fundamental,0.0,0.0,10,0,True
1605.T,0.0,fundamental,0.0,0.0,10,0,True
7267.T,0.0,fundamental,0.0,0.0,10,0,True
6702.T,0.0,fundamental,0.0,0.0,10,0,True
8001.T,0.0,fundamental,0.0,0.0,10,0,True
4568.T,0.0,fundamental,0.0,0.0,10,0,True
9433.T,0.0,fundamental,0.0,0.0,10,0,True
9107.T,0.0,fundamental,0.0,0.0,10,0,True
6752.T,0.0,fundamental,0.0,0.0,10,0,True
8591.T,0.0,fundamental,0.0,0.0,10,0,True
7269.T,0.0,fundamental,0.0,0.0,10,0,True
4901.T,0.0,fundamental,0.0,0.0,10,0,True
8725.T,0.0,fundamental,0.0,0.0,10,0,True
8801.T,0.0,fundamental,0.0,0.0,10,0,True
4503.T,0.0,fundamental,0.0,0.0,10,0,True
8802.T,0.0,fundamental,0.0,0.0,10,0,True
8604.T,0.0,fundamental,0.0,0.0,10,0,True
8267.T,0.0,fundamental,0.0,0.0,10,0,True
7270.T,0.0,fundamental,0.0,0.0,10,0,True
4661.T,0.0,fundamental,0.0,0.0,10,0,True
7201.T,0.0857856244470313,price,0.19499446730356107,0.016727722141352215,15,15,True
5411.T,0.0,price,-0.07447167409634625,-0.0,15,15,True
7751.T,0.0,price,-0.4255855867288186,-0.0,15,15,True
7733.T,0.0,price,-1.0096948917056554,-0.0,15,15,True
5020.T,0.0,price,0.7479581447964369,0.0,15,15,True
9202.T,0.0,price,0.04118051269393146,0.0,15,15,True
6988.T,0.0,price,-0.2119498048226522,-0.0,15,15,True
2503.T,0.0,price,0.2297323102074767,0.0,15,15,True
8830.T,0.0,price,0.23054862326659611,0.0,15,15,True
7832.T,0.0,price,-0.7487198706258646,-0.0,15,15,True
6506.T,0.0,price,0.7578787785715808,0.0,15,15,True
9020.T,0.0,price,-0.24766309792074642,-0.0,15,15,True
3659.T,0.0,price,-0.3018562115889597,-0.0,15,15,True
8697.T,0.0,price,0.9718399472102263,0.0,15,15,True
6326.T,0.0,price,1.0256275903619383,0.0,15,15,True
9503.T,0.0,price,0.41897146869065377,0.0,15,15,True
2502.T,0.0,price,-0.492978882596548,-0.0,15,15,True
9502.T,0.0,price,-0.024818431507232827,-0.0,15,15,True
5401.T,0.0,price,-0.42227285474714976,-0.0,15,15,True
6723.T,0.0,price,0.902690696277317,0.0,15,15,True
9201.T,0.0,price,0.15468912278666203,0.0,15,15,True
8306.T,0.0,price,-0.009464184950338827,-0.0,15,15,True
7011.T,0.0,price,0.22784287169894163,0.0,15,15,True
3382.T,0.0,price,-0.4227630705343272,-0.0,15,15,True
6758.T,0.0,price,-1.065181127164499,-0.0,15,15,True
7203.T,0.0,price,0.7513628928034997,0.0,15,15,True
6501.T,0.0,price,-0.15578379260633118,-0.0,15,15,True
1605.T,0.0,price,0.4531641213860954,0.0,15,15,True
7267.T,0.0,price,-0.3389825090041585,-0.0,15,15,True
6702.T,0.0,price,-0.6346975076149488,-0.0,15,15,True
8001.T,0.0,price,0.41843493596925785,0.0,15,15,True
4568.T,0.0,price,-0.7327101131364167,-0.0,15,15,True
9433.T,0.0,price,0.9553497457435849,0.0,15,15,True
9107.T,0.0,price,0.4286672589809045,0.0,15,15,True
6752.T,0.0,price,0.907521776112392,0.0,15,15,True
8591.T,0.0,price,0.7985257461511556,0.0,15,15,True
7269.T,0.0,price,-0.14866741470808664,-0.0,15,15,True
