symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
4755.T,0.2305780658494296,fundamental,0.0,0.0,10,0,True
9501.T,0.1779043433827467,fundamental,0.0,0.0,10,0,True
7201.T,0.1304542060685455,fundamental,0.0,0.0,10,0,True
5401.T,0.1249953556341893,fundamental,0.0,0.0,10,0,True
9434.T,0.0506566398322878,fundamental,0.0,0.0,10,0,True
9432.T,0.0397898051029097,fundamental,0.0,0.0,10,0,True
5411.T,0.0,fundamental,0.0,0.0,10,0,True
7751.T,0.0,fundamental,0.0,0.0,10,0,True
7733.T,0.0,fundamental,0.0,0.0,10,0,True
5020.T,0.0,fundamental,0.0,0.0,10,0,True
9202.T,0.0,fundamental,0.0,0.0,10,0,True
6988.T,0.0,fundamental,0.0,0.0,10,0,True
2503.T,0.0,fundamental,0.0,0.0,10,0,True
8830.T,0.0,fundamental,0.0,0.0,10,0,True
7832.T,0.0,fundamental,0.0,0.0,10,0,True
6506.T,0.0,fundamental,0.0,0.0,10,0,True
9020.T,0.0,fundamental,0.0,0.0,10,0,True
3659.T,0.0,fundamental,0.0,0.0,10,0,True
8697.T,0.0,fundamental,0.0,0.0,10,0,True
6326.T,0.0,fundamental,0.0,0.0,10,0,True
9503.T,0.0,fundamental,0.0,0.0,10,0,True
2502.T,0.0,fundamental,0.0,0.0,10,0,True
9502.T,0.0,fundamental,0.0,0.0,10,0,True
6723.T,0.0,fundamental,0.0,0.0,10,0,True
9201.T,0.0,fundamental,0.0,0.0,10,0,True
8306.T,0.0,fundamental,0.0,0.0,10,0,True
7011.T,0.0,fundamental,0.0,0.0,10,0,True
3382.T,0.0,fundamental,0.0,0.0,10,0,True
6758.T,0.0,fundamental,0.0,0.0,10,0,True
7203.T,0.0,fundamental,0.0,0.0,10,0,True
6501.T,0.0,fundamental,0.0,0.0,10,0,True
1605.T,0.0,fundamental,0.0,0.0,10,0,True
7267.T,0.0,fundamental,0.0,0.0,10,0,True
6702.T,0.0,fundamental,0.0,0.0,10,0,True
8001.T,0.0,fundamental,0.0,0.0,10,0,True
4568.T,0.0,fundamental,0.0,0.0,10,0,True
9433.T,0.0,fundamental,0.0,0.0,10,0,True
9107.T,0.0,fundamental,0.0,0.0,10,0,True
6752.T,0.0,fundamental,0.0,0.0,10,0,True
8591.T,0.0,fundamental,0.0,0.0,10,0,True
7269.T,0.0,fundamental,0.0,0.0,10,0,True
4901.T,0.0,fundamental,0.0,0.0,10,0,True
8725.T,0.0,fundamental,0.0,0.0,10,0,True
8801.T,0.0,fundamental,0.0,0.0,10,0,True
4503.T,0.0,fundamental,0.0,0.0,10,0,True
8802.T,0.0,fundamental,0.0,0.0,10,0,True
8604.T,0.0,fundamental,0.0,0.0,10,0,True
8267.T,0.0,fundamental,0.0,0.0,10,0,True
7270.T,0.0,fundamental,0.0,0.0,10,0,True
4661.T,0.0,fundamental,0.0,0.0,10,0,True
7201.T,0.1304542060685455,price,0.10962871408474954,0.014301526858241572,15,15,True
5411.T,0.0,price,-0.3722063961347054,-0.0,15,15,True
7751.T,0.0,price,-0.32823158503725663,-0.0,15,15,True
7733.T,0.0,price,-0.8823033341791693,-0.0,15,15,True
5020.T,0.0,price,0.6636889450961488,0.0,15,15,True
9202.T,0.0,price,0.04064490714625201,0.0,15,15,True
6988.T,0.0,price,-0.23332029490550274,-0.0,15,15,True
2503.T,0.0,price,0.08090180341373117,0.0,15,15,True
8830.T,0.0,price,0.07655608017242875,0.0,15,15,True
