symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
4755.T,0.163557617232936,fundamental,0.0,0.0,10,0,True
9501.T,0.1383356629397292,fundamental,0.0,0.0,10,0,True
5401.T,0.1256160459207164,fundamental,0.0,0.0,10,0,True
7201.T,0.0855611204815304,fundamental,0.0,0.0,10,0,True
9434.T,0.042227533020753,fundamental,0.0,0.0,10,0,True
9432.T,0.0302782078977918,fundamental,0.0,0.0,10,0,True
5411.T,0.0,fundamental,0.0,0.0,10,0,True
7751.T,0.0,fundamental,0.0,0.0,10,0,True
7733.T,0.0,fundamental,0.0,0.0,10,0,True
5020.T,0.0,fundamental,0.0,0.0,10,0,True
9202.T,0.0,fundamental,0.0,0.0,10,0,True
6988.T,0.0,fundamental,0.0,0.0,10,0,True
2503.T,0.0,fundamental,0.0,0.0,10,0,True
8830.T,0.0,fundamental,0.0,0.0,10,0,True
7832.T,0.0,fundamental,0.0,0.0,10,0,True
6506.T,0.0,fundamental,0.0,0.0,10,0,True
9020.T,0.0,fundamental,0.0,0.0,10,0,True
3659.T,0.0,fundamental,0.0,0.0,10,0,True
8697.T,0.0,fundamental,0.0,0.0,10,0,True
6326.T,0.0,fundamental,0.0,0.0,10,0,True
9503.T,0.0,fundamental,0.0,0.0,10,0,True
2502.T,0.0,fundamental,0.0,0.0,10,0,True
9502.T,0.0,fundamental,0.0,0.0,10,0,True
6723.T,0.0,fundamental,0.0,0.0,10,0,True
9201.T,0.0,fundamental,0.0,0.0,10,0,True
8306.T,0.0,fundamental,0.0,0.0,10,0,True
7011.T,0.0,fundamental,0.0,0.0,10,0,True
3382.T,0.0,fundamental,0.0,0.0,10,0,True
6758.T,0.0,fundamental,0.0,0.0,10,0,True
7203.T,0.0,fundamental,0.0,0.0,10,0,True
6501.T,0.0,fundamental,0.0,0.0,10,0,True
1605.T,0.0,fundamental,0.0,0.0,10,0,True
7267.T,0.0,fundamental,0.0,0.0,10,0,True
6702.T,0.0,fundamental,0.0,0.0,10,0,True
8001.T,0.0,fundamental,0.0,0.0,10,0,True
4568.T,0.0,fundamental,0.0,0.0,10,0,True
9433.T,0.0,fundamental,0.0,0.0,10,0,True
9107.T,0.0,fundamental,0.0,0.0,10,0,True
6752.T,0.0,fundamental,0.0,0.0,10,0,True
8591.T,0.0,fundamental,0.0,0.0,10,0,True
7269.T,0.0,fundamental,0.0,0.0,10,0,True
4901.T,0.0,fundamental,0.0,0.0,10,0,True
8725.T,0.0,fundamental,0.0,0.0,10,0,True
8801.T,0.0,fundamental,0.0,0.0,10,0,True
4503.T,0.0,fundamental,0.0,0.0,10,0,True
8802.T,0.0,fundamental,0.0,0.0,10,0,True
8604.T,0.0,fundamental,0.0,0.0,10,0,True
8267.T,0.0,fundamental,0.0,0.0,10,0,True
7270.T,0.0,fundamental,0.0,0.0,10,0,True
4661.T,0.0,fundamental,0.0,0.0,10,0,True
7201.T,0.0855611204815304,price,0.22929874899441138,0.01961905788897503,15,15,True
5411.T,0.0,price,-0.23368400489155053,-0.0,15,15,True
7751.T,0.0,price,-0.5500050087559601,-0.0,15,15,True
7733.T,0.0,price,-0.9163131383634596,-0.0,15,15,True
5020.T,0.0,price,0.9175969497034788,0.0,15,15,True
9202.T,0.0,price,0.056558667836474646,0.0,15,15,True
6988.T,0.0,price,-0.26380292500077734,-0.0,15,15,True
2503.T,0.0,price,0.3930931367877151,0.0,15,15,True
8830.T,0.0,price,0.32722956775118367,0.0,15,15,True
7832.T,0.0,price,-0.4033434331568077,-0.0,15,15,True
6506.T,0.0,price,0.41467382886088183,0.0,15,15,True
9020.T,0.0,price,-0.3752688579434486,-0.0,15,15,True
3659.T,0.0,price,-0.13997703697665503,-0.0,15,15,True
8697.T,0.0,price,0.8161400881444989,0.0,15,15,True
6326.T,0.0,price,1.0439685850787421,0.0,15,15,True
9503.T,0.0,price,0.23438646233935614,0.0,15,15,True
2502.T,0.0,price,-0.5792696699836467,-0.0,15,15,True
9502.T,0.0,price,-0.048478183375316286,-0.0,15,15,True
6723.T,0.0,price,0.467964343872111,0.0,15,15,True
9201.T,0.0,price,-0.09039536364401793,-0.0,15,15,True
8306.T,0.0,price,0.09369720804219829,0.0,15,15,True
7011.T,0.0,price,0.4045906684296842,0.0,15,15,True
3382.T,0.0,price,-0.6934936958996674,-0.0,15,15,True
6758.T,0.0,price,-0.23099778752360273,-0.0,15,15,True
7203.T,0.0,price,0.6764564422429836,0.0,15,15,True
6501.T,0.0,price,-0.026819316234475938,-0.0,15,15,True
1605.T,0.0,price,0.631054905965032,0.0,15,15,True
7267.T,0.0,price,-0.3431481163848753,-0.0,15,15,True
6702.T,0.0,price,-0.586509595420254,-0.0,15,15,True
8001.T,0.0,price,0.43658236443448073,0.0,15,15,True
4568.T,0.0,price,-0.6717932023459693,-0.0,15,15,True
9433.T,0.0,price,0.4075100748804256,0.0,15,15,True
