symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
4755.T,0.162509721665827,fundamental,0.0,0.0,10,7,True
9501.T,0.1337325818172249,fundamental,0.0,0.0,10,7,True
5401.T,0.1260626861227826,fundamental,0.0,0.0,10,7,True
7201.T,0.0844089312164461,fundamental,0.0,0.0,10,7,True
9434.T,0.0425949689493297,fundamental,0.0,0.0,10,7,True
9432.T,0.0304993605738087,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8604.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
7201.T,0.0844089312164461,price,0.10613817748452595,0.0089590101227303,15,15,True
5411.T,0.0,price,-0.36151684037655435,-0.0,15,15,True
7751.T,0.0,price,-0.44615451218611246,-0.0,15,15,True
7733.T,0.0,price,-0.9896015130266661,-0.0,15,15,True
5020.T,0.0,price,1.2267313761484189,0.0,15,15,True
9202.T,0.0,price,-0.1442932421404562,-0.0,15,15,True
6988.T,0.0,price,-0.3194794903942465,-0.0,15,15,True
2503.T,0.0,price,0.407085047893516,0.0,15,15,True
8830.T,0.0,price,0.42119431646787164,0.0,15,15,True
7832.T,0.0,price,-0.5804826922479586,-0.0,15,15,True
6506.T,0.0,price,0.29651869717627727,0.0,15,15,True
9020.T,0.0,price,-0.2379713239193352,-0.0,15,15,True
3659.T,0.0,price,-0.1315604326063516,-0.0,15,15,True
8697.T,0.0,price,0.8465476880757176,0.0,15,15,True
6326.T,0.0,price,0.8615237288749941,0.0,15,15,True
9503.T,0.0,price,0.04003070848767241,0.0,15,15,True
2502.T,0.0,price,-0.6118423848235164,-0.0,15,15,True
9502.T,0.0,price,0.4502715375894743,0.0,15,15,True
6723.T,0.0,price,0.42162037571071326,0.0,15,15,True
9201.T,0.0,price,-0.22072587245318076,-0.0,15,15,True
8306.T,0.0,price,-0.09108324921773314,-0.0,15,15,True
7011.T,0.0,price,0.8119726271947117,0.0,15,15,True
3382.T,0.0,price,-0.6135744612370405,-0.0,15,15,True
6758.T,0.0,price,-0.4622794416389,-0.0,15,15,True
7203.T,0.0,price,1.058604408184478,0.0,15,15,True
6501.T,0.0,price,-0.11260097783106282,-0.0,15,15,True
1605.T,0.0,price,1.323167346685469,0.0,15,15,True
7267.T,0.0,price,-0.3651244075165325,-0.0,15,15,True
6702.T,0.0,price,-0.5327049556210028,-0.0,15,15,True
8001.T,0.0,price,0.38119640492153495,0.0,15,15,True
4568.T,0.0,price,-0.8278823666613849,-0.0,15,15,True
9433.T,0.0,price,0.7051771680216508,0.0,15,15,True
9107.T,0.0,price,1.0124862091856321,0.0,15,15,True
6752.T,0.0,price,0.7145719364401574,0.0,15,15,True
8591.T,0.0,price,0.49653996693640196,0.0,15,15,True
7269.T,0.0,price,-0.27699774230082197,-0.0,15,15,True
4901.T,0.0,price,-0.3339453031335917,-0.0,15,15,True
8725.T,0.0,price,0.2778473488891481,0.0,15,15,True
8801.T,0.0,price,-1.019559984015134,-0.0,15,15,True
4503.T,0.0,price,0.37861131628409694,0.0,15,15,True
8802.T,0.0,price,0.5983656675472628,0.0,15,15,True
8604.T,0.0,price,-0.01400788223595583,-0.0,15,15,True
8267.T,0.0,price,-0.5380021254879411,-0.0,15,15,True
7270.T,0.0,price,-0.5226204358516499,-0.0,15,15,True
4661.T,0.0,price,-0.6138515188206491,-0.0,15,15,True
9432.T,0.0304993605738087,price,-0.3207693379052714,-0.009783259697794755,15,15,True
9434.T,0.0425949689493297,price,-0.3844078301163792,-0.01637383958768638,15,15,True
5401.T,0.1260626861227826,price,-0.4902198997668098,-0.06179843735544529,15,15,True
9501.T,0.1337325818172249,price,-0.4903022460771464,-0.06556938523868111,15,15,True
4755.T,0.162509721665827,price,-0.782639584590341,-0.1271865410564348,15,15,True
7201.T,0.0844089312164461,risk_adjusted,0.17905810500423375,0.01511410326904955,4,4,True
5411.T,0.0,risk_adjusted,0.07093632694168778,0.0,4,4,True
7751.T,0.0,risk_adjusted,0.30571184156104336,0.0,4,4,True
7733.T,0.0,risk_adjusted,-1.5215352275333716,-0.0,4,4,True
5020.T,0.0,risk_adjusted,1.508177744813788,0.0,4,4,True
9202.T,0.0,risk_adjusted,0.4084962660638094,0.0,4,4,True
6988.T,0.0,risk_adjusted,-0.3915111861312583,-0.0,4,4,True
2503.T,0.0,risk_adjusted,0.4982992866714171,0.0,4,4,True
8830.T,0.0,risk_adjusted,0.5480445977358772,0.0,4,4,True
7832.T,0.0,risk_adjusted,-0.595055845838959,-0.0,4,4,True
6506.T,0.0,risk_adjusted,0.37429736476519304,0.0,4,4,True
9020.T,0.0,risk_adjusted,-0.2979636168666754,-0.0,4,4,True
3659.T,0.0,risk_adjusted,-1.0895590694185275,-0.0,4,4,True
