symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
4755.T,0.1611800970339534,fundamental,0.0,0.0,10,7,True
9501.T,0.1301281795877174,fundamental,0.0,0.0,10,7,True
5401.T,0.1266371275777464,fundamental,0.0,0.0,10,7,True
7201.T,0.0795590700211046,fundamental,0.0,0.0,10,7,True
9434.T,0.0430766313795619,fundamental,0.0,0.0,10,7,True
9432.T,0.0310519236765415,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8604.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
7201.T,0.0795590700211046,price,0.09259525181738501,0.007366792122961147,15,15,True
5411.T,0.0,price,-0.3344758980676253,-0.0,15,15,True
7751.T,0.0,price,-0.4121585687417234,-0.0,15,15,True
7733.T,0.0,price,-0.769176369561839,-0.0,15,15,True
5020.T,0.0,price,0.8638548879419196,0.0,15,15,True
9202.T,0.0,price,-0.14375828313186254,-0.0,15,15,True
6988.T,0.0,price,-0.5515239245014368,-0.0,15,15,True
2503.T,0.0,price,0.5291878209616683,0.0,15,15,True
8830.T,0.0,price,0.2427399835812705,0.0,15,15,True
7832.T,0.0,price,-0.5671470228910768,-0.0,15,15,True
6506.T,0.0,price,0.11146391201680168,0.0,15,15,True
9020.T,0.0,price,-0.3050868661493942,-0.0,15,15,True
3659.T,0.0,price,-0.026417759372177725,-0.0,15,15,True
8697.T,0.0,price,0.712323387269876,0.0,15,15,True
6326.T,0.0,price,0.7941564163690378,0.0,15,15,True
9503.T,0.0,price,0.14971531326025384,0.0,15,15,True
2502.T,0.0,price,-0.4715199900621325,-0.0,15,15,True
9502.T,0.0,price,0.36441808956272026,0.0,15,15,True
6723.T,0.0,price,0.36033425534815383,0.0,15,15,True
9201.T,0.0,price,-0.4101418316745306,-0.0,15,15,True
8306.T,0.0,price,0.19275982910813438,0.0,15,15,True
7011.T,0.0,price,0.5857308947156025,0.0,15,15,True
3382.T,0.0,price,-0.5768836772019922,-0.0,15,15,True
6758.T,0.0,price,-0.6225509775627178,-0.0,15,15,True
7203.T,0.0,price,0.9268118448397513,0.0,15,15,True
6501.T,0.0,price,-0.20611952330128294,-0.0,15,15,True
1605.T,0.0,price,1.4745333695664338,0.0,15,15,True
7267.T,0.0,price,-0.1996334572226834,-0.0,15,15,True
6702.T,0.0,price,-0.384098364071852,-0.0,15,15,True
8001.T,0.0,price,0.5150311059960276,0.0,15,15,True
4568.T,0.0,price,-0.825856293743557,-0.0,15,15,True
9433.T,0.0,price,0.8440380867528163,0.0,15,15,True
9107.T,0.0,price,0.8567639567487529,0.0,15,15,True
6752.T,0.0,price,0.4886528848598125,0.0,15,15,True
8591.T,0.0,price,0.5095735554448859,0.0,15,15,True
7269.T,0.0,price,-0.318563852217156,-0.0,15,15,True
4901.T,0.0,price,-0.33070036789785623,-0.0,15,15,True
8725.T,0.0,price,0.32533601428936654,0.0,15,15,True
8801.T,0.0,price,-0.872414374012766,-0.0,15,15,True
4503.T,0.0,price,0.45124182228035237,0.0,15,15,True
8802.T,0.0,price,0.6296743904314952,0.0,15,15,True
8604.T,0.0,price,0.05355211891117957,0.0,15,15,True
8267.T,0.0,price,-0.4279907193077481,-0.0,15,15,True
7270.T,0.0,price,-0.5012097872172966,-0.0,15,15,True
4661.T,0.0,price,-0.6043090708439981,-0.0,15,15,True
9432.T,0.0310519236765415,price,-0.3016206286076773,-0.009365900738796064,15,15,True
