symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
4755.T,0.1616642294589338,fundamental,0.0,0.0,10,7,True
9501.T,0.1311246812840882,fundamental,0.0,0.0,10,7,True
5401.T,0.1244615146681061,fundamental,0.0,0.0,10,7,True
7201.T,0.0768115908640055,fundamental,0.0,0.0,10,7,True
9434.T,0.0433311966817552,fundamental,0.0,0.0,10,7,True
9432.T,0.0310948120595107,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8604.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
7201.T,0.0768115908640055,price,0.19500688877526845,0.014978789356268547,15,15,True
9501.T,0.1311246812840882,price,0.016962055924112165,0.0022241441769720875,15,15,True
5411.T,0.0,price,-0.3297592546121998,-0.0,15,15,True
7751.T,0.0,price,-0.5608590735547315,-0.0,15,15,True
7733.T,0.0,price,-0.8324990548136106,-0.0,15,15,True
5020.T,0.0,price,0.6232016098803463,0.0,15,15,True
9202.T,0.0,price,-0.058256627725886904,-0.0,15,15,True
6988.T,0.0,price,-0.6609663506093735,-0.0,15,15,True
2503.T,0.0,price,0.5782756845762369,0.0,15,15,True
8830.T,0.0,price,-0.1028880009113276,-0.0,15,15,True
7832.T,0.0,price,-0.26778828154063206,-0.0,15,15,True
6506.T,0.0,price,-0.15338240290409708,-0.0,15,15,True
9020.T,0.0,price,-0.191888916203692,-0.0,15,15,True
3659.T,0.0,price,-0.04911629990677997,-0.0,15,15,True
8697.T,0.0,price,0.7652334687968131,0.0,15,15,True
6326.T,0.0,price,0.6338924334519144,0.0,15,15,True
9503.T,0.0,price,-0.21259806024500252,-0.0,15,15,True
2502.T,0.0,price,-0.48235465353644263,-0.0,15,15,True
9502.T,0.0,price,0.1956360043208902,0.0,15,15,True
6723.T,0.0,price,0.38511300752866373,0.0,15,15,True
9201.T,0.0,price,-0.3401673383193447,-0.0,15,15,True
8306.T,0.0,price,0.031981583172664696,0.0,15,15,True
7011.T,0.0,price,0.37161647211944066,0.0,15,15,True
3382.T,0.0,price,-0.5656697923253817,-0.0,15,15,True
6758.T,0.0,price,-0.2654089585869515,-0.0,15,15,True
7203.T,0.0,price,0.5492950685809822,0.0,15,15,True
6501.T,0.0,price,-0.03473368248933944,-0.0,15,15,True
1605.T,0.0,price,1.299663916210874,0.0,15,15,True
7267.T,0.0,price,-0.2224538925106696,-0.0,15,15,True
6702.T,0.0,price,-0.23247876307737758,-0.0,15,15,True
8001.T,0.0,price,0.3760474584382905,0.0,15,15,True
4568.T,0.0,price,-0.8568386383596523,-0.0,15,15,True
9433.T,0.0,price,0.5853218691559775,0.0,15,15,True
9107.T,0.0,price,0.8879645328663137,0.0,15,15,True
6752.T,0.0,price,0.6301878436064132,0.0,15,15,True
8591.T,0.0,price,0.31794955114305185,0.0,15,15,True
7269.T,0.0,price,-0.030960380865656785,-0.0,15,15,True
4901.T,0.0,price,-0.5355756242722661,-0.0,15,15,True
8725.T,0.0,price,0.2308265311923277,0.0,15,15,True
8801.T,0.0,price,-0.558215266865174,-0.0,15,15,True
4503.T,0.0,price,0.4573719013724863,0.0,15,15,True
8802.T,0.0,price,0.6611032677765026,0.0,15,15,True
8604.T,0.0,price,-0.1007700350233346,-0.0,15,15,True
8267.T,0.0,price,-0.32356181257408,-0.0,15,15,True
7270.T,0.0,price,-0.4908876839799247,-0.0,15,15,True
4661.T,0.0,price,-0.0594252302297339,-0.0,15,15,True
9432.T,0.0310948120595107,price,-0.3262792374445753,-0.010145591567259537,15,15,True
9434.T,0.0433311966817552,price,-0.2590426317114021,-0.011224627223646243,15,15,True
5401.T,0.1244615146681061,price,-0.1680592645416419,-0.02091691061886069,15,15,True
4755.T,0.1616642294589338,price,-0.5197659391492844,-0.08402756005156813,15,15,True
7201.T,0.0768115908640055,risk_adjusted,0.20245500160511945,0.015550890751664014,4,4,True
9434.T,0.0433311966817552,risk_adjusted,0.023478917604879856,0.0010173695966117738,4,4,True
5411.T,0.0,risk_adjusted,-0.014566946146250953,-0.0,4,4,True
7751.T,0.0,risk_adjusted,-0.08407775249825922,-0.0,4,4,True
7733.T,0.0,risk_adjusted,-1.6165803957680176,-0.0,4,4,True
