symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
4755.T,0.1609810557420631,fundamental,0.0,0.0,10,7,True
9501.T,0.1336403826719683,fundamental,0.0,0.0,10,7,True
5401.T,0.1233208303928332,fundamental,0.0,0.0,10,7,True
7201.T,0.0767800104637627,fundamental,0.0,0.0,10,7,True
9434.T,0.0430666993096607,fundamental,0.0,0.0,10,7,True
9432.T,0.0308764587345198,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8604.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
7201.T,0.0767800104637627,price,0.21686451767435055,0.016650859936255487,15,15,True
9501.T,0.1336403826719683,price,0.08231096719400831,0.011000069153907098,15,15,True
5411.T,0.0,price,-0.2719069453316284,-0.0,15,15,True
7751.T,0.0,price,-0.559158172465669,-0.0,15,15,True
7733.T,0.0,price,-0.8681641352568408,-0.0,15,15,True
5020.T,0.0,price,1.1266069650854207,0.0,15,15,True
9202.T,0.0,price,-0.30409024087745523,-0.0,15,15,True
6988.T,0.0,price,-0.38580603379619394,-0.0,15,15,True
2503.T,0.0,price,0.28747931779775476,0.0,15,15,True
8830.T,0.0,price,0.461149871709086,0.0,15,15,True
7832.T,0.0,price,-0.42670338792235507,-0.0,15,15,True
6506.T,0.0,price,-0.19502112015110354,-0.0,15,15,True
9020.T,0.0,price,-0.1608993644162174,-0.0,15,15,True
3659.T,0.0,price,-0.2940110195574564,-0.0,15,15,True
8697.T,0.0,price,0.9947072716353117,0.0,15,15,True
6326.T,0.0,price,0.5849796614010465,0.0,15,15,True
9503.T,0.0,price,-0.173688852096921,-0.0,15,15,True
2502.T,0.0,price,-0.4823502145493126,-0.0,15,15,True
9502.T,0.0,price,0.09137788490291203,0.0,15,15,True
6723.T,0.0,price,0.31500395597145076,0.0,15,15,True
9201.T,0.0,price,-0.43300379770471586,-0.0,15,15,True
8306.T,0.0,price,0.17096291351776738,0.0,15,15,True
7011.T,0.0,price,0.6284753991601342,0.0,15,15,True
