symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
5401.T,0.1228855322124774,fundamental,0.0,0.0,10,7,True
7201.T,0.0780323129549231,fundamental,0.0,0.0,10,7,True
9434.T,0.0440339823761377,fundamental,0.0,0.0,10,7,True
9432.T,0.0315611021066275,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
9501.T,0.0,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
4755.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8604.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
7201.T,0.0780323129549231,price,0.3859286354378662,0.030114904058754003,15,15,True
9020.T,0.0,price,-0.31389589048313765,-0.0,15,15,True
7751.T,0.0,price,-0.6885765011656326,-0.0,15,15,True
7733.T,0.0,price,-0.43464719887831754,-0.0,15,15,True
5020.T,0.0,price,0.7033986814109402,0.0,15,15,True
