symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
5401.T,0.124936316685694,fundamental,0.0,0.0,10,7,True
7201.T,0.0769892245385446,fundamental,0.0,0.0,10,7,True
9434.T,0.0443296039059531,fundamental,0.0,0.0,10,7,True
9432.T,0.0317807911542197,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
9501.T,0.0,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
4755.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8604.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
9432.T,0.0317807911542197,price,0.0400788211328047,0.0012737366441289931,15,15,True
7201.T,0.0769892245385446,price,0.00214787895070363,0.00016536353481733538,15,15,True
9020.T,0.0,price,-0.037295871874968016,-0.0,15,15,True
7751.T,0.0,price,-0.586408539323281,-0.0,15,15,True
7733.T,0.0,price,-0.7298860340504476,-0.0,15,15,True
5020.T,0.0,price,0.7058018299718918,0.0,15,15,True
9202.T,0.0,price,-0.33336795078916726,-0.0,15,15,True
6988.T,0.0,price,-0.2541882019786745,-0.0,15,15,True
2503.T,0.0,price,0.41037898121001554,0.0,15,15,True
8830.T,0.0,price,0.2365351700009094,0.0,15,15,True
7832.T,0.0,price,-0.03235999026685219,-0.0,15,15,True
5411.T,0.0,price,-0.47829567632528003,-0.0,15,15,True
6506.T,0.0,price,0.08478704325026527,0.0,15,15,True
3659.T,0.0,price,-0.2763031439430829,-0.0,15,15,True
8697.T,0.0,price,0.5782624072513385,0.0,15,15,True
6326.T,0.0,price,0.4360808868307696,0.0,15,15,True
9503.T,0.0,price,0.10834714047030393,0.0,15,15,True
2502.T,0.0,price,-0.8876606513973508,-0.0,15,15,True
9502.T,0.0,price,0.2983420029451552,0.0,15,15,True
9501.T,0.0,price,-0.4066891434154589,-0.0,15,15,True
6723.T,0.0,price,0.41954324298216733,0.0,15,15,True
4755.T,0.0,price,-0.6332869346936203,-0.0,15,15,True
9201.T,0.0,price,-0.5424199122781022,-0.0,15,15,True
8306.T,0.0,price,-0.0687857601494976,-0.0,15,15,True
7011.T,0.0,price,0.11187304211624802,0.0,15,15,True
3382.T,0.0,price,-0.5860231883389221,-0.0,15,15,True
6758.T,0.0,price,-0.35491543882075455,-0.0,15,15,True
7203.T,0.0,price,0.6554969066481883,0.0,15,15,True
6501.T,0.0,price,-0.18051000428951017,-0.0,15,15,True
1605.T,0.0,price,1.6292815627221906,0.0,15,15,True
