symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
8604.T,0.25,fundamental,0.0,0.0,10,7,True
5401.T,0.1479245683303047,fundamental,0.0,0.0,10,7,True
7201.T,0.0962803476524329,fundamental,0.0,0.0,10,7,True
9434.T,0.0489753503532239,fundamental,0.0,0.0,10,7,True
9432.T,0.0372868038325014,fundamental,0.0,0.0,10,7,True
9501.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
4755.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
7201.T,0.0962803476524329,price,0.645619592875904,0.06216047885331423,15,15,True
9432.T,0.0372868038325014,price,0.3484006011737422,0.012990744871090884,15,15,True
9501.T,0.0,price,-0.06240876067747438,-0.0,15,15,True
7832.T,0.0,price,0.08360692060429059,0.0,15,15,True
7751.T,0.0,price,-0.6619084657581997,-0.0,15,15,True
7733.T,0.0,price,-0.5928702800941844,-0.0,15,15,True
5020.T,0.0,price,0.5517761810054732,0.0,15,15,True
4755.T,0.0,price,-0.7334907884447954,-0.0,15,15,True
9202.T,0.0,price,-0.29197187822644405,-0.0,15,15,True
6988.T,0.0,price,-0.39044601106305915,-0.0,15,15,True
2503.T,0.0,price,0.23921675420449226,0.0,15,15,True
8830.T,0.0,price,0.21288189541504707,0.0,15,15,True
5411.T,0.0,price,-0.36465304528463754,-0.0,15,15,True
9502.T,0.0,price,0.09211414684497272,0.0,15,15,True
9020.T,0.0,price,-0.18534012193227759,-0.0,15,15,True
6723.T,0.0,price,0.1638631411520654,0.0,15,15,True
6506.T,0.0,price,0.03829368701950339,0.0,15,15,True
3659.T,0.0,price,-0.22597619606603644,-0.0,15,15,True
8697.T,0.0,price,0.19296218745583651,0.0,15,15,True
6326.T,0.0,price,0.28052471405613244,0.0,15,15,True
9503.T,0.0,price,-0.029705386167498606,-0.0,15,15,True
2502.T,0.0,price,-0.6862812284419959,-0.0,15,15,True
9201.T,0.0,price,-0.4080464136231852,-0.0,15,15,True
8306.T,0.0,price,-0.1173398221342709,-0.0,15,15,True
7011.T,0.0,price,0.7221142868667165,0.0,15,15,True
9107.T,0.0,price,0.9282927732056593,0.0,15,15,True
6758.T,0.0,price,-0.24872327996632176,-0.0,15,15,True
7203.T,0.0,price,0.6830794973174471,0.0,15,15,True
6501.T,0.0,price,0.21070242767443628,0.0,15,15,True
1605.T,0.0,price,1.9469805057419838,0.0,15,15,True
7267.T,0.0,price,-0.3248349881450545,-0.0,15,15,True
6702.T,0.0,price,-0.1438648649331728,-0.0,15,15,True
8001.T,0.0,price,-0.008713290792421623,-0.0,15,15,True
4568.T,0.0,price,-0.23120724146184304,-0.0,15,15,True
9433.T,0.0,price,0.17690877257190174,0.0,15,15,True
6752.T,0.0,price,1.0623624247223409,0.0,15,15,True
3382.T,0.0,price,-0.4018712500583505,-0.0,15,15,True
8591.T,0.0,price,0.07163013582856591,0.0,15,15,True
7269.T,0.0,price,-0.4201881806060484,-0.0,15,15,True
4901.T,0.0,price,-0.12631093054900883,-0.0,15,15,True
8725.T,0.0,price,-0.07371339123421115,-0.0,15,15,True
8801.T,0.0,price,-0.9683568809385922,-0.0,15,15,True
4503.T,0.0,price,0.21723289847502644,0.0,15,15,True
8802.T,0.0,price,0.7554749855235448,0.0,15,15,True
8267.T,0.0,price,-0.21107839151838287,-0.0,15,15,True
7270.T,0.0,price,-0.5836759214422497,-0.0,15,15,True
4661.T,0.0,price,-0.23363058947551113,-0.0,15,15,True
9434.T,0.0489753503532239,price,-0.5253093737456442,-0.025727210623025566,15,15,True
8604.T,0.25,price,-0.12290929947864247,-0.030727324869660618,15,15,True
5401.T,0.1479245683303047,price,-0.24921225747556408,-0.03686461560969357,15,15,True
7201.T,0.0962803476524329,risk_adjusted,0.38899411118562327,0.03745248825970095,4,4,True
9432.T,0.0372868038325014,risk_adjusted,0.7535599692369132,0.02809784274896257,4,4,True
9501.T,0.0,risk_adjusted,-0.2857931083932259,-0.0,4,4,True
7832.T,0.0,risk_adjusted,0.416067696169202,0.0,4,4,True
7751.T,0.0,risk_adjusted,-0.32173500718638387,-0.0,4,4,True
7733.T,0.0,risk_adjusted,-1.4646748538903438,-0.0,4,4,True
5020.T,0.0,risk_adjusted,0.4540648392484846,0.0,4,4,True
4755.T,0.0,risk_adjusted,-1.1911894817057245,-0.0,4,4,True
9202.T,0.0,risk_adjusted,-0.013973045306435596,-0.0,4,4,True
6988.T,0.0,risk_adjusted,-0.6974924416087681,-0.0,4,4,True
