symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
8604.T,0.25,fundamental,0.0,0.0,10,7,True
5401.T,0.1304894830798019,fundamental,0.0,0.0,10,7,True
7201.T,0.0802030771212052,fundamental,0.0,0.0,10,7,True
9434.T,0.0468987808865418,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
9501.T,0.0,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
4755.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
9432.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
7201.T,0.0802030771212052,price,0.2766673545808011,0.022189573176363817,15,15,True
5411.T,0.0,price,-0.6260464795096704,-0.0,15,15,True
7751.T,0.0,price,-0.6568870903777179,-0.0,15,15,True
7733.T,0.0,price,-0.6910098148688594,-0.0,15,15,True
5020.T,0.0,price,0.7653880734771235,0.0,15,15,True
9202.T,0.0,price,-0.3080776760787242,-0.0,15,15,True
6988.T,0.0,price,-0.3411261155228024,-0.0,15,15,True
2503.T,0.0,price,0.4715841431402046,0.0,15,15,True
8830.T,0.0,price,0.5538434726184222,0.0,15,15,True
7832.T,0.0,price,0.20291232147296273,0.0,15,15,True
6506.T,0.0,price,-0.049036069239292074,-0.0,15,15,True
9020.T,0.0,price,-0.1507727655811138,-0.0,15,15,True
3659.T,0.0,price,0.0861307899335815,0.0,15,15,True
8697.T,0.0,price,0.34264370618984935,0.0,15,15,True
6326.T,0.0,price,0.013133984708721957,0.0,15,15,True
9503.T,0.0,price,0.17542588931841482,0.0,15,15,True
2502.T,0.0,price,-0.6709059150229798,-0.0,15,15,True
9502.T,0.0,price,0.19458468775289506,0.0,15,15,True
9501.T,0.0,price,-0.37001057707131013,-0.0,15,15,True
6723.T,0.0,price,-0.08666638447739138,-0.0,15,15,True
4755.T,0.0,price,-0.8681107358779429,-0.0,15,15,True
9201.T,0.0,price,-0.483148328918516,-0.0,15,15,True
8306.T,0.0,price,0.01222501447796014,0.0,15,15,True
7011.T,0.0,price,0.5485529998226915,0.0,15,15,True
3382.T,0.0,price,-0.19254893016642793,-0.0,15,15,True
6758.T,0.0,price,-0.18709119842820449,-0.0,15,15,True
7203.T,0.0,price,0.8505986422511963,0.0,15,15,True
6501.T,0.0,price,0.07425385638904856,0.0,15,15,True
1605.T,0.0,price,1.8846192168097742,0.0,15,15,True
7267.T,0.0,price,-0.5538122256715418,-0.0,15,15,True
6702.T,0.0,price,-0.014346252146628099,-0.0,15,15,True
8001.T,0.0,price,0.30385283996459506,0.0,15,15,True
4568.T,0.0,price,-0.6103884116442589,-0.0,15,15,True
9433.T,0.0,price,0.06779864605758266,0.0,15,15,True
9107.T,0.0,price,0.8954543607722125,0.0,15,15,True
6752.T,0.0,price,1.05531418191449,0.0,15,15,True
9432.T,0.0,price,0.24208651631973233,0.0,15,15,True
8591.T,0.0,price,0.07052710915531737,0.0,15,15,True
7269.T,0.0,price,-0.1363190639163056,-0.0,15,15,True
4901.T,0.0,price,-0.18627154922822686,-0.0,15,15,True
8725.T,0.0,price,0.08375063707095597,0.0,15,15,True
8801.T,0.0,price,-0.9336325595507495,-0.0,15,15,True
4503.T,0.0,price,0.4242255213711092,0.0,15,15,True
8802.T,0.0,price,0.3797890869323274,0.0,15,15,True
8267.T,0.0,price,-0.408716302815721,-0.0,15,15,True
7270.T,0.0,price,-0.4371347072441495,-0.0,15,15,True
4661.T,0.0,price,-0.2131683614896456,-0.0,15,15,True
9434.T,0.0468987808865418,price,-0.3098851623773149,-0.014533236330324118,15,15,True
8604.T,0.25,price,-0.12874108659159283,-0.03218527164789821,15,15,True
5401.T,0.1304894830798019,price,-0.3615092886848826,-0.04717316020903721,15,15,True
7201.T,0.0802030771212052,risk_adjusted,0.4848020667832461,0.03888261755073636,4,4,True
5411.T,0.0,risk_adjusted,-0.5380600764150658,-0.0,4,4,True
7751.T,0.0,risk_adjusted,-0.33974188652959925,-0.0,4,4,True
7733.T,0.0,risk_adjusted,-1.481753213211023,-0.0,4,4,True
5020.T,0.0,risk_adjusted,0.538454450123446,0.0,4,4,True
9202.T,0.0,risk_adjusted,-0.11325037793041731,-0.0,4,4,True
6988.T,0.0,risk_adjusted,-0.5859414134433275,-0.0,4,4,True
2503.T,0.0,risk_adjusted,1.3334481353201098,0.0,4,4,True
8830.T,0.0,risk_adjusted,0.21882623636929194,0.0,4,4,True
7832.T,0.0,risk_adjusted,0.4579606634033473,0.0,4,4,True
6506.T,0.0,risk_adjusted,-0.3774007652362914,-0.0,4,4,True
9020.T,0.0,risk_adjusted,0.04432419267178797,0.0,4,4,True
3659.T,0.0,risk_adjusted,-0.6163055038129276,-0.0,4,4,True
8697.T,0.0,risk_adjusted,0.5282013195422601,0.0,4,4,True
6326.T,0.0,risk_adjusted,0.02471672540834624,0.0,4,4,True
9503.T,0.0,risk_adjusted,-0.18975375788702006,-0.0,4,4,True
2502.T,0.0,risk_adjusted,-0.46379140383510614,-0.0,4,4,True
9502.T,0.0,risk_adjusted,0.5959519612026185,0.0,4,4,True
9501.T,0.0,risk_adjusted,-0.40619820331559825,-0.0,4,4,True
6723.T,0.0,risk_adjusted,0.12002948288852672,0.0,4,4,True
4755.T,0.0,risk_adjusted,-0.3781279241927079,-0.0,4,4,True
9201.T,0.0,risk_adjusted,-0.8848231480920266,-0.0,4,4,True
8306.T,0.0,risk_adjusted,0.1891487112404639,0.0,4,4,True
7011.T,0.0,risk_adjusted,0.44507499457703026,0.0,4,4,True
3382.T,0.0,risk_adjusted,-0.4803459003061139,-0.0,4,4,True
6758.T,0.0,risk_adjusted,-0.6850424339065277,-0.0,4,4,True
7203.T,0.0,risk_adjusted,0.890124274479032,0.0,4,4,True
6501.T,0.0,risk_adjusted,-0.07742034701547279,-0.0,4,4,True
1605.T,0.0,risk_adjusted,1.154001512893839,0.0,4,4,True
7267.T,0.0,risk_adjusted,0.012400024420558486,0.0,4,4,True
6702.T,0.0,risk_adjusted,-0.26866347912094896,-0.0,4,4,True
8001.T,0.0,risk_adjusted,0.2242873667063914,0.0,4,4,True
4568.T,0.0,risk_adjusted,-0.14946228686253582,-0.0,4,4,True
9433.T,0.0,risk_adjusted,-0.49021772454451773,-0.0,4,4,True
9107.T,0.0,risk_adjusted,1.1635990885298462,0.0,4,4,True
6752.T,0.0,risk_adjusted,1.2012764256521302,0.0,4,4,True
9432.T,0.0,risk_adjusted,0.7424990260553695,0.0,4,4,True
8591.T,0.0,risk_adjusted,0.017804447162048126,0.0,4,4,True
7269.T,0.0,risk_adjusted,-0.31211503062386314,-0.0,4,4,True
4901.T,0.0,risk_adjusted,-0.6739652266150191,-0.0,4,4,True
8725.T,0.0,risk_adjusted,0.46497947754065816,0.0,4,4,True
8801.T,0.0,risk_adjusted,-0.5867928061675023,-0.0,4,4,True
4503.T,0.0,risk_adjusted,0.6946804637026646,0.0,4,4,True
8802.T,0.0,risk_adjusted,0.36796656979821013,0.0,4,4,True
8267.T,0.0,risk_adjusted,-0.7308640310406671,-0.0,4,4,True
7270.T,0.0,risk_adjusted,-1.0752113350589736,-0.0,4,4,True
4661.T,0.0,risk_adjusted,0.9307841256260371,0.0,4,4,True
9434.T,0.0468987808865418,risk_adjusted,-0.252281301510852,-0.011831685481329034,4,4,True
5401.T,0.1304894830798019,risk_adjusted,-0.19756634086180636,-0.025780329693025055,4,4,True
8604.T,0.25,risk_adjusted,-0.4902458245613494,-0.12256145614033735,4,4,True
