symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
8604.T,0.2470917480422797,fundamental,0.0,0.0,10,7,True
5401.T,0.1219139412366579,fundamental,0.0,0.0,10,7,True
7201.T,0.0738136881397625,fundamental,0.0,0.0,10,7,True
9432.T,0.0323919734983543,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
9501.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
4755.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
9434.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
8604.T,0.2470917480422797,price,0.09376137093162266,0.023167661042335235,15,15,True
9432.T,0.0323919734983543,price,0.2900027784815599,0.009393762315023802,15,15,True
7201.T,0.0738136881397625,price,0.017184375987036503,0.0012684421699835358,15,15,True
6723.T,0.0,price,0.42728658879087184,0.0,15,15,True
9501.T,0.0,price,-0.6099475354277712,-0.0,15,15,True
7751.T,0.0,price,-0.6683758136477677,-0.0,15,15,True
7733.T,0.0,price,-0.47556311976961513,-0.0,15,15,True
5020.T,0.0,price,0.5915679070163443,0.0,15,15,True
4755.T,0.0,price,-0.6219019957942385,-0.0,15,15,True
9202.T,0.0,price,-0.2731308829327791,-0.0,15,15,True
6988.T,0.0,price,-0.4036465815650969,-0.0,15,15,True
2503.T,0.0,price,0.4730879219967754,0.0,15,15,True
8830.T,0.0,price,0.5434982526368392,0.0,15,15,True
7832.T,0.0,price,0.14658519824504643,0.0,15,15,True
5411.T,0.0,price,-0.5165357524725243,-0.0,15,15,True
9020.T,0.0,price,-0.20850897247376401,-0.0,15,15,True
9434.T,0.0,price,-0.2283152780738681,-0.0,15,15,True
6506.T,0.0,price,0.05012329427233553,0.0,15,15,True
3659.T,0.0,price,0.11001203055042261,0.0,15,15,True
8697.T,0.0,price,0.24859404925717976,0.0,15,15,True
6326.T,0.0,price,-0.05765670679393963,-0.0,15,15,True
9503.T,0.0,price,0.24015184971316803,0.0,15,15,True
2502.T,0.0,price,-0.8514665758522078,-0.0,15,15,True
9502.T,0.0,price,0.3697956857146032,0.0,15,15,True
9201.T,0.0,price,-0.20357842551721228,-0.0,15,15,True
