symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
9501.T,0.1300838792405836,fundamental,0.0,0.0,10,7,True
5401.T,0.1231929922760245,fundamental,0.0,0.0,10,7,True
7201.T,0.0698149821103208,fundamental,0.0,0.0,10,7,True
9434.T,0.0455809882279787,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
4755.T,0.0,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
9432.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8604.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
6723.T,0.0,price,-0.013309628800418465,-0.0,15,15,True
7832.T,0.0,price,-0.1571558544226163,-0.0,15,15,True
9201.T,0.0,price,-0.12518631770272565,-0.0,15,15,True
7751.T,0.0,price,-0.476972728844579,-0.0,15,15,True
7733.T,0.0,price,-0.1034480143808235,-0.0,15,15,True
5020.T,0.0,price,0.6712734866018993,0.0,15,15,True
9202.T,0.0,price,-0.04435541235619188,-0.0,15,15,True
6988.T,0.0,price,-0.40765719601050765,-0.0,15,15,True
2503.T,0.0,price,-0.15588098080444118,-0.0,15,15,True
8830.T,0.0,price,0.26951928860045743,0.0,15,15,True
5411.T,0.0,price,-0.276505063264313,-0.0,15,15,True
4755.T,0.0,price,-0.7407944459755856,-0.0,15,15,True
9020.T,0.0,price,-0.41253241703193155,-0.0,15,15,True
7011.T,0.0,price,0.44869687702346744,0.0,15,15,True
3659.T,0.0,price,-0.258380183704322,-0.0,15,15,True
8697.T,0.0,price,0.44720968211970624,0.0,15,15,True
6326.T,0.0,price,-0.09497659741518166,-0.0,15,15,True
9503.T,0.0,price,-0.2375492491374069,-0.0,15,15,True
2502.T,0.0,price,-0.5682708880659162,-0.0,15,15,True
9502.T,0.0,price,0.5877372636277206,0.0,15,15,True
6506.T,0.0,price,-0.20065262640109255,-0.0,15,15,True
8306.T,0.0,price,0.10363393513170589,0.0,15,15,True
3382.T,0.0,price,-0.24001980826316255,-0.0,15,15,True
7270.T,0.0,price,-0.4580023015766227,-0.0,15,15,True
6758.T,0.0,price,-0.6760218632597589,-0.0,15,15,True
7203.T,0.0,price,0.8102919178389172,0.0,15,15,True
6501.T,0.0,price,0.2996012427348431,0.0,15,15,True
1605.T,0.0,price,1.8087691564077872,0.0,15,15,True
7267.T,0.0,price,-0.48343561727042844,-0.0,15,15,True
6702.T,0.0,price,-0.38263180586590995,-0.0,15,15,True
8001.T,0.0,price,0.12641573513416704,0.0,15,15,True
4568.T,0.0,price,0.3022945589910171,0.0,15,15,True
9433.T,0.0,price,-0.10003053792722379,-0.0,15,15,True
9107.T,0.0,price,0.8696182697704143,0.0,15,15,True
6752.T,0.0,price,0.7208856911725087,0.0,15,15,True
9432.T,0.0,price,0.17282466208942157,0.0,15,15,True
8591.T,0.0,price,0.0030242947123257148,0.0,15,15,True
7269.T,0.0,price,0.24914030974508553,0.0,15,15,True
4901.T,0.0,price,-0.4490505699198053,-0.0,15,15,True
8725.T,0.0,price,0.024959655275550514,0.0,15,15,True
8801.T,0.0,price,-0.5114058554543072,-0.0,15,15,True
4503.T,0.0,price,0.5998175235885104,0.0,15,15,True
8802.T,0.0,price,0.24188656685384968,0.0,15,15,True
8604.T,0.0,price,0.43247368788760465,0.0,15,15,True
8267.T,0.0,price,-0.6295048447265797,-0.0,15,15,True
4661.T,0.0,price,-0.31000226939584485,-0.0,15,15,True
9434.T,0.0455809882279787,price,-0.07279412416219831,-0.003318028116503181,15,15,True
7201.T,0.0698149821103208,price,-0.11799430873695144,-0.008237770553589934,15,15,True
5401.T,0.1231929922760245,price,-0.13536427993979755,-0.016675930693073097,15,15,True
9501.T,0.1300838792405836,price,-0.3501880144903133,-0.04555381538845765,15,15,True
9434.T,0.0455809882279787,risk_adjusted,0.039763148885486946,0.0018124436212567448,4,4,True
6723.T,0.0,risk_adjusted,0.3030612689297057,0.0,4,4,True
7832.T,0.0,risk_adjusted,0.32660135128755186,0.0,4,4,True
9201.T,0.0,risk_adjusted,-0.7651980629599304,-0.0,4,4,True
7751.T,0.0,risk_adjusted,0.16108296273056977,0.0,4,4,True
7733.T,0.0,risk_adjusted,-0.9398090818267535,-0.0,4,4,True
5020.T,0.0,risk_adjusted,0.5598042300238846,0.0,4,4,True
9202.T,0.0,risk_adjusted,-0.3032483711924826,-0.0,4,4,True
6988.T,0.0,risk_adjusted,-0.6752617376921328,-0.0,4,4,True
2503.T,0.0,risk_adjusted,0.36181925250395186,0.0,4,4,True
8830.T,0.0,risk_adjusted,0.2747244318537294,0.0,4,4,True
5411.T,0.0,risk_adjusted,-0.32804953596238884,-0.0,4,4,True
4755.T,0.0,risk_adjusted,-1.2102678810863479,-0.0,4,4,True
9020.T,0.0,risk_adjusted,-0.5724556531676589,-0.0,4,4,True
7011.T,0.0,risk_adjusted,0.631946957602197,0.0,4,4,True
3659.T,0.0,risk_adjusted,-0.8493245622545512,-0.0,4,4,True
8697.T,0.0,risk_adjusted,0.8452334505601414,0.0,4,4,True
6326.T,0.0,risk_adjusted,-0.08046295155766256,-0.0,4,4,True
9503.T,0.0,risk_adjusted,-0.5516829791260771,-0.0,4,4,True
2502.T,0.0,risk_adjusted,-0.4788013537783577,-0.0,4,4,True
9502.T,0.0,risk_adjusted,1.0937497236089835,0.0,4,4,True
6506.T,0.0,risk_adjusted,-0.08824042129520684,-0.0,4,4,True
8306.T,0.0,risk_adjusted,0.4458569506098886,0.0,4,4,True
3382.T,0.0,risk_adjusted,-0.19012699690950147,-0.0,4,4,True
