symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
9501.T,0.1313108095939462,fundamental,0.0,0.0,10,7,True
5401.T,0.1237001104429816,fundamental,0.0,0.0,10,7,True
7201.T,0.0712848094078199,fundamental,0.0,0.0,10,7,True
9434.T,0.0455803445005062,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
4755.T,0.0,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
9432.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8604.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
6723.T,0.0,price,0.38541484049625024,0.0,15,15,True
7832.T,0.0,price,-0.4180584935243831,-0.0,15,15,True
9201.T,0.0,price,-0.182742983293234,-0.0,15,15,True
7751.T,0.0,price,-0.47121446108489345,-0.0,15,15,True
7733.T,0.0,price,-0.1084962088403152,-0.0,15,15,True
5020.T,0.0,price,0.6663420722570632,0.0,15,15,True
9202.T,0.0,price,-0.09195953624817924,-0.0,15,15,True
6988.T,0.0,price,-0.20857399253996675,-0.0,15,15,True
2503.T,0.0,price,-0.15364837605350673,-0.0,15,15,True
8830.T,0.0,price,0.27658081750505636,0.0,15,15,True
5411.T,0.0,price,-0.3053441904454774,-0.0,15,15,True
4755.T,0.0,price,-0.9020833088190262,-0.0,15,15,True
9020.T,0.0,price,-0.5555399960570848,-0.0,15,15,True
7011.T,0.0,price,0.12780504436853327,0.0,15,15,True
3659.T,0.0,price,-0.49676125687784706,-0.0,15,15,True
8697.T,0.0,price,0.2775353326507502,0.0,15,15,True
6326.T,0.0,price,0.17235657093751772,0.0,15,15,True
9503.T,0.0,price,-0.20412107098869295,-0.0,15,15,True
2502.T,0.0,price,-0.8829794951147789,-0.0,15,15,True
9502.T,0.0,price,0.3540274974466283,0.0,15,15,True
6506.T,0.0,price,0.046862889645622956,0.0,15,15,True
8306.T,0.0,price,0.22685492243988012,0.0,15,15,True
3382.T,0.0,price,-0.2831733792189696,-0.0,15,15,True
7270.T,0.0,price,-0.19539964851713043,-0.0,15,15,True
6758.T,0.0,price,-0.5615224853469407,-0.0,15,15,True
7203.T,0.0,price,0.6518675559500333,0.0,15,15,True
6501.T,0.0,price,0.1303839591419334,0.0,15,15,True
1605.T,0.0,price,1.6578123464048224,0.0,15,15,True
7267.T,0.0,price,-0.746839680980097,-0.0,15,15,True
