symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
5401.T,0.1242773403053016,fundamental,0.0,0.0,10,7,True
7201.T,0.0728190823774773,fundamental,0.0,0.0,10,7,True
9434.T,0.0460240011429464,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
4755.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
9501.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
9432.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8604.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
9434.T,0.0460240011429464,price,0.15980753608147724,0.007354982223265356,15,15,True
7201.T,0.0728190823774773,price,0.061121011097235375,0.004450775942084287,15,15,True
6723.T,0.0,price,0.24371645734633854,0.0,15,15,True
4755.T,0.0,price,-0.7142683632271366,-0.0,15,15,True
9201.T,0.0,price,0.004229649899695712,0.0,15,15,True
7751.T,0.0,price,-0.5584165876806694,-0.0,15,15,True
7733.T,0.0,price,0.019626100924702274,0.0,15,15,True
5020.T,0.0,price,0.9364520530987782,0.0,15,15,True
9202.T,0.0,price,-0.19708254261336705,-0.0,15,15,True
6988.T,0.0,price,-0.38774359014059734,-0.0,15,15,True
2503.T,0.0,price,-0.20847067399429672,-0.0,15,15,True
8830.T,0.0,price,0.5450725334902309,0.0,15,15,True
7832.T,0.0,price,-0.6923683612543272,-0.0,15,15,True
5411.T,0.0,price,-0.508610192618876,-0.0,15,15,True
9020.T,0.0,price,-0.4177980167753978,-0.0,15,15,True
7011.T,0.0,price,0.319906374108555,0.0,15,15,True
3659.T,0.0,price,-0.1103794735112647,-0.0,15,15,True
8697.T,0.0,price,0.3536025521777469,0.0,15,15,True
6326.T,0.0,price,0.051046327605380366,0.0,15,15,True
9503.T,0.0,price,0.02479734766603218,0.0,15,15,True
2502.T,0.0,price,-1.0506562968318274,-0.0,15,15,True
9502.T,0.0,price,0.3763572015398406,0.0,15,15,True
9501.T,0.0,price,-0.4011545492058727,-0.0,15,15,True
6506.T,0.0,price,0.052245910736250796,0.0,15,15,True
8306.T,0.0,price,0.4336982916926143,0.0,15,15,True
3382.T,0.0,price,-0.24200782691535788,-0.0,15,15,True
7270.T,0.0,price,-0.25088675798566057,-0.0,15,15,True
6758.T,0.0,price,-0.629922677822625,-0.0,15,15,True
7203.T,0.0,price,0.752712954148275,0.0,15,15,True
6501.T,0.0,price,0.24469311797128793,0.0,15,15,True
1605.T,0.0,price,1.393364469401458,0.0,15,15,True
7267.T,0.0,price,-0.6819587693090204,-0.0,15,15,True
6702.T,0.0,price,-0.447114306177693,-0.0,15,15,True
8001.T,0.0,price,0.33989011197860103,0.0,15,15,True
4568.T,0.0,price,-0.3705796373790548,-0.0,15,15,True
9433.T,0.0,price,0.24748363193449777,0.0,15,15,True
9107.T,0.0,price,0.6990809770929632,0.0,15,15,True
6752.T,0.0,price,1.136927189746055,0.0,15,15,True
9432.T,0.0,price,-0.407291168015976,-0.0,15,15,True
8591.T,0.0,price,0.24052422234504361,0.0,15,15,True
7269.T,0.0,price,0.1190115620491711,0.0,15,15,True
4901.T,0.0,price,-0.4420130522551425,-0.0,15,15,True
8725.T,0.0,price,0.8679367684688876,0.0,15,15,True
8801.T,0.0,price,-1.0584368676916267,-0.0,15,15,True
4503.T,0.0,price,1.03470859248672,0.0,15,15,True
8802.T,0.0,price,0.5133643342013963,0.0,15,15,True
8604.T,0.0,price,0.5822005258773063,0.0,15,15,True
8267.T,0.0,price,-0.8361428945702908,-0.0,15,15,True
4661.T,0.0,price,-0.7601467778548987,-0.0,15,15,True
5401.T,0.1242773403053016,price,-0.3801284213355713,-0.047241349178037864,15,15,True
9434.T,0.0460240011429464,risk_adjusted,0.7165103908463782,0.03297667504724668,4,4,True
6723.T,0.0,risk_adjusted,0.21919279478453707,0.0,4,4,True
4755.T,0.0,risk_adjusted,-1.13918346090658,-0.0,4,4,True
9201.T,0.0,risk_adjusted,-0.576483047394185,-0.0,4,4,True
7751.T,0.0,risk_adjusted,0.604389102970849,0.0,4,4,True
7733.T,0.0,risk_adjusted,-0.7628208728567905,-0.0,4,4,True
5020.T,0.0,risk_adjusted,0.5758789719978072,0.0,4,4,True
9202.T,0.0,risk_adjusted,-0.2228185225796695,-0.0,4,4,True
6988.T,0.0,risk_adjusted,-0.7644357607279316,-0.0,4,4,True
2503.T,0.0,risk_adjusted,0.27210270961193395,0.0,4,4,True
8830.T,0.0,risk_adjusted,0.2487753948450996,0.0,4,4,True
7832.T,0.0,risk_adjusted,0.06949569795998145,0.0,4,4,True
5411.T,0.0,risk_adjusted,-0.36560975740571877,-0.0,4,4,True
9020.T,0.0,risk_adjusted,-0.5071674420896151,-0.0,4,4,True
7011.T,0.0,risk_adjusted,0.4513774224595749,0.0,4,4,True
3659.T,0.0,risk_adjusted,-0.6976511495651845,-0.0,4,4,True
8697.T,0.0,risk_adjusted,0.6998798975978285,0.0,4,4,True
6326.T,0.0,risk_adjusted,-0.20866363952112624,-0.0,4,4,True
9503.T,0.0,risk_adjusted,-0.1315771870495593,-0.0,4,4,True
2502.T,0.0,risk_adjusted,-0.8603235713707361,-0.0,4,4,True
9502.T,0.0,risk_adjusted,1.00404930910371,0.0,4,4,True
9501.T,0.0,risk_adjusted,-0.8724721220541508,-0.0,4,4,True
6506.T,0.0,risk_adjusted,-0.09851336417293022,-0.0,4,4,True
8306.T,0.0,risk_adjusted,0.4947448162750808,0.0,4,4,True
3382.T,0.0,risk_adjusted,-0.14831705885886132,-0.0,4,4,True
7270.T,0.0,risk_adjusted,-0.7278456447397785,-0.0,4,4,True
