symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
5401.T,0.124468499247071,fundamental,0.0,0.0,10,7,True
7201.T,0.0735115968707533,fundamental,0.0,0.0,10,7,True
9434.T,0.0457567935314239,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
4755.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
9501.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
9432.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8604.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
7201.T,0.0735115968707533,price,0.12668453842945035,0.009312782718783209,15,15,True
6723.T,0.0,price,0.014356378554118381,0.0,15,15,True
4755.T,0.0,price,-0.7865977056646183,-0.0,15,15,True
9201.T,0.0,price,-0.2725937750989341,-0.0,15,15,True
7751.T,0.0,price,-0.48308207241675954,-0.0,15,15,True
7733.T,0.0,price,0.032054361969112974,0.0,15,15,True
5020.T,0.0,price,1.1021216642550415,0.0,15,15,True
9202.T,0.0,price,-0.14451181531405508,-0.0,15,15,True
6988.T,0.0,price,-0.42135372877470534,-0.0,15,15,True
2503.T,0.0,price,-0.1288986280056987,-0.0,15,15,True
8830.T,0.0,price,0.46152268260135665,0.0,15,15,True
7832.T,0.0,price,-0.7139509635682514,-0.0,15,15,True
5411.T,0.0,price,-0.4082303075902284,-0.0,15,15,True
9020.T,0.0,price,-0.31713781653564144,-0.0,15,15,True
7011.T,0.0,price,0.0948287655726566,0.0,15,15,True
3659.T,0.0,price,-0.17298096463087015,-0.0,15,15,True
8697.T,0.0,price,0.36846988288517246,0.0,15,15,True
6326.T,0.0,price,0.3444544729643947,0.0,15,15,True
9503.T,0.0,price,0.1321754791372666,0.0,15,15,True
2502.T,0.0,price,-0.8238011366609287,-0.0,15,15,True
9502.T,0.0,price,0.45114944149717634,0.0,15,15,True
9501.T,0.0,price,-0.5833249206344429,-0.0,15,15,True
6506.T,0.0,price,-0.2841120653398768,-0.0,15,15,True
8306.T,0.0,price,0.2101896490598466,0.0,15,15,True
3382.T,0.0,price,-0.011670148261549019,-0.0,15,15,True
7270.T,0.0,price,-0.38181647592699053,-0.0,15,15,True
