symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
4755.T,0.153250868433769,fundamental,0.0,0.0,10,7,True
5401.T,0.1218332729079818,fundamental,0.0,0.0,10,7,True
7201.T,0.0711453736959391,fundamental,0.0,0.0,10,7,True
9434.T,0.0451336393032022,fundamental,0.0,0.0,10,7,True
9432.T,0.0331347494742409,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
9501.T,0.0,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8604.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
7201.T,0.0711453736959391,price,0.3439721496689655,0.024472027129194045,15,15,True
5411.T,0.0,price,-0.5184922371970832,-0.0,15,15,True
7751.T,0.0,price,-0.37221850792412337,-0.0,15,15,True
7733.T,0.0,price,0.3907407524058672,0.0,15,15,True
5020.T,0.0,price,1.5765608470998014,0.0,15,15,True
9202.T,0.0,price,-0.298527976548387,-0.0,15,15,True
6988.T,0.0,price,-0.3193406951611163,-0.0,15,15,True
2503.T,0.0,price,0.19522918352908097,0.0,15,15,True
8830.T,0.0,price,0.6820531109388965,0.0,15,15,True
7832.T,0.0,price,-0.9584652181683015,-0.0,15,15,True
6506.T,0.0,price,-0.3212036037293957,-0.0,15,15,True
9020.T,0.0,price,-0.21992250301539157,-0.0,15,15,True
3659.T,0.0,price,0.023953905124115195,0.0,15,15,True
8697.T,0.0,price,-0.021984634919490594,-0.0,15,15,True
6326.T,0.0,price,0.1818104783535115,0.0,15,15,True
9503.T,0.0,price,0.15519093830817807,0.0,15,15,True
2502.T,0.0,price,-0.5310571262556258,-0.0,15,15,True
9502.T,0.0,price,0.36846835131682815,0.0,15,15,True
