symbol,target_weight
8306.T,0.0
7011.T,0.0
6758.T,0.0
7203.T,0.0
6501.T,0.0
1605.T,0.0
7267.T,0.0
6702.T,0.0
8001.T,0.0
4568.T,0.0
9433.T,0.0
9107.T,0.0
6752.T,0.0
9432.T,0.0331347494742409
8591.T,0.0
7269.T,0.0
4901.T,0.0
8725.T,0.0
8801.T,0.0
4503.T,0.0
8802.T,0.0
8604.T,0.0
8267.T,0.0
7270.T,0.0
3382.T,0.0
4661.T,0.0
9434.T,0.0451336393032022
9201.T,0.0
7751.T,0.0
7733.T,0.0
5020.T,0.0
9202.T,0.0
6988.T,0.0
2503.T,0.0
8830.T,0.0
7832.T,0.0
5411.T,0.0
9020.T,0.0
6506.T,0.0
3659.T,0.0
8697.T,0.0
6326.T,0.0
9503.T,0.0
2502.T,0.0
9502.T,0.0
9501.T,0.0
5401.T,0.1218332729079818
6723.T,0.0
4755.T,0.153250868433769
7201.T,0.0711453736959391
