symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
4755.T,0.1533615329845646,fundamental,0.0,0.0,10,7,True
5401.T,0.1221420461512548,fundamental,0.0,0.0,10,7,True
7201.T,0.0706256288315841,fundamental,0.0,0.0,10,7,True
9434.T,0.0447719840162524,fundamental,0.0,0.0,10,7,True
9432.T,0.0333403862966748,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
9501.T,0.0,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8604.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
7201.T,0.0706256288315841,price,0.1686640307298581,0.011912003231565854,15,15,True
9432.T,0.0333403862966748,price,0.03243496245040059,0.0010813941776144976,15,15,True
5411.T,0.0,price,-0.5242990575279417,-0.0,15,15,True
7751.T,0.0,price,-0.2866073129462338,-0.0,15,15,True
7733.T,0.0,price,0.29870861171485824,0.0,15,15,True
5020.T,0.0,price,1.3093642743329557,0.0,15,15,True
9202.T,0.0,price,-0.325879936737237,-0.0,15,15,True
6988.T,0.0,price,-0.17769669249643133,-0.0,15,15,True
2503.T,0.0,price,0.3686182475449108,0.0,15,15,True
8830.T,0.0,price,0.32062089431839547,0.0,15,15,True
7832.T,0.0,price,-0.6697471562113598,-0.0,15,15,True
6506.T,0.0,price,-0.5749212930698404,-0.0,15,15,True
9020.T,0.0,price,-0.1898414449396961,-0.0,15,15,True
3659.T,0.0,price,-0.04458856473071497,-0.0,15,15,True
8697.T,0.0,price,0.06922701226087004,0.0,15,15,True
6326.T,0.0,price,0.3420396661587504,0.0,15,15,True
9503.T,0.0,price,-0.022830218451494518,-0.0,15,15,True
2502.T,0.0,price,-0.5040817676257278,-0.0,15,15,True
9502.T,0.0,price,0.2581991185722361,0.0,15,15,True
9501.T,0.0,price,-0.2353689001207418,-0.0,15,15,True
6723.T,0.0,price,-0.27233245965859443,-0.0,15,15,True
9201.T,0.0,price,-0.32423066458058897,-0.0,15,15,True
8306.T,0.0,price,0.11490973656774976,0.0,15,15,True
7011.T,0.0,price,-0.1643458711162736,-0.0,15,15,True
3382.T,0.0,price,0.35728790298251606,0.0,15,15,True
6758.T,0.0,price,-0.594310968092719,-0.0,15,15,True
7203.T,0.0,price,0.2987090027983849,0.0,15,15,True
6501.T,0.0,price,-0.5783849094838575,-0.0,15,15,True
1605.T,0.0,price,1.5266973356800464,0.0,15,15,True
7267.T,0.0,price,-0.5679817803546338,-0.0,15,15,True
6702.T,0.0,price,-0.4803933827300157,-0.0,15,15,True
8001.T,0.0,price,0.11022596030932336,0.0,15,15,True
4568.T,0.0,price,-0.6602984129798453,-0.0,15,15,True
9433.T,0.0,price,0.5974057998509169,0.0,15,15,True
9107.T,0.0,price,0.8350975935515701,0.0,15,15,True
6752.T,0.0,price,1.0763602812002717,0.0,15,15,True
8591.T,0.0,price,0.18532722198159338,0.0,15,15,True
7269.T,0.0,price,0.43946462627958555,0.0,15,15,True
4901.T,0.0,price,-0.12760607583628952,-0.0,15,15,True
8725.T,0.0,price,0.4712804787524945,0.0,15,15,True
8801.T,0.0,price,-0.8601956719026267,-0.0,15,15,True
4503.T,0.0,price,0.962524695325675,0.0,15,15,True
8802.T,0.0,price,0.5395747775842309,0.0,15,15,True
8604.T,0.0,price,0.21173676770169664,0.0,15,15,True
8267.T,0.0,price,-0.5719922783297983,-0.0,15,15,True
7270.T,0.0,price,-0.3388558794531949,-0.0,15,15,True
4661.T,0.0,price,-0.1577133100112081,-0.0,15,15,True
9434.T,0.0447719840162524,price,-0.6298407623013176,-0.02819922054253882,15,15,True
5401.T,0.1221420461512548,price,-0.2968542983101152,-0.03625839140439246,15,15,True
4755.T,0.1533615329845646,price,-0.7132799286507973,-0.10938970330500712,15,15,True
7201.T,0.0706256288315841,risk_adjusted,0.33985285574876667,0.02400232164746629,4,4,True
9432.T,0.0333403862966748,risk_adjusted,0.5954949184886985,0.019854030620120082,4,4,True
5411.T,0.0,risk_adjusted,-0.20675601869082544,-0.0,4,4,True
7751.T,0.0,risk_adjusted,0.470045503776505,0.0,4,4,True
7733.T,0.0,risk_adjusted,-0.29361818307340276,-0.0,4,4,True
5020.T,0.0,risk_adjusted,0.8786482844227432,0.0,4,4,True
9202.T,0.0,risk_adjusted,-0.27210125292925064,-0.0,4,4,True
6988.T,0.0,risk_adjusted,-0.6843638094261735,-0.0,4,4,True
2503.T,0.0,risk_adjusted,0.5857977184152616,0.0,4,4,True
8830.T,0.0,risk_adjusted,0.6929738146446998,0.0,4,4,True
7832.T,0.0,risk_adjusted,-0.4328861557085959,-0.0,4,4,True
6506.T,0.0,risk_adjusted,-0.4372954663186735,-0.0,4,4,True
9020.T,0.0,risk_adjusted,-0.3771133120748632,-0.0,4,4,True
3659.T,0.0,risk_adjusted,-0.7678650905265916,-0.0,4,4,True
8697.T,0.0,risk_adjusted,0.20692799380645854,0.0,4,4,True
6326.T,0.0,risk_adjusted,-0.07574432457660563,-0.0,4,4,True
9503.T,0.0,risk_adjusted,-0.07481495332557128,-0.0,4,4,True
2502.T,0.0,risk_adjusted,-0.4939974164495942,-0.0,4,4,True
9502.T,0.0,risk_adjusted,0.8878009182134954,0.0,4,4,True
9501.T,0.0,risk_adjusted,-0.8129859648879243,-0.0,4,4,True
6723.T,0.0,risk_adjusted,-0.1352865213918126,-0.0,4,4,True
9201.T,0.0,risk_adjusted,-0.4763012480744018,-0.0,4,4,True
8306.T,0.0,risk_adjusted,0.6974681956459675,0.0,4,4,True
7011.T,0.0,risk_adjusted,0.26549549797139405,0.0,4,4,True
3382.T,0.0,risk_adjusted,0.5348388486415606,0.0,4,4,True
6758.T,0.0,risk_adjusted,-0.8642447212210391,-0.0,4,4,True
7203.T,0.0,risk_adjusted,0.7526003458571673,0.0,4,4,True
6501.T,0.0,risk_adjusted,-0.4649792477237461,-0.0,4,4,True
1605.T,0.0,risk_adjusted,1.3711689968481129,0.0,4,4,True
7267.T,0.0,risk_adjusted,-0.4680754769572668,-0.0,4,4,True
6702.T,0.0,risk_adjusted,-0.7229507076574873,-0.0,4,4,True
8001.T,0.0,risk_adjusted,0.3824941833550422,0.0,4,4,True
4568.T,0.0,risk_adjusted,-0.5724589921068196,-0.0,4,4,True
9433.T,0.0,risk_adjusted,0.2661969192713941,0.0,4,4,True
9107.T,0.0,risk_adjusted,1.036271299671201,0.0,4,4,True
6752.T,0.0,risk_adjusted,1.168033529512695,0.0,4,4,True
8591.T,0.0,risk_adjusted,-0.07795153099451221,-0.0,4,4,True
7269.T,0.0,risk_adjusted,0.013399834340954235,0.0,4,4,True
4901.T,0.0,risk_adjusted,-0.12112857587180992,-0.0,4,4,True
8725.T,0.0,risk_adjusted,0.6284064964712647,0.0,4,4,True
8801.T,0.0,risk_adjusted,-0.8895124284030181,-0.0,4,4,True
4503.T,0.0,risk_adjusted,1.259637158169092,0.0,4,4,True
8802.T,0.0,risk_adjusted,0.1965386137583187,0.0,4,4,True
8604.T,0.0,risk_adjusted,0.10250010356662254,0.0,4,4,True
8267.T,0.0,risk_adjusted,-0.7979200258847058,-0.0,4,4,True
7270.T,0.0,risk_adjusted,-0.6377775589896224,-0.0,4,4,True
4661.T,0.0,risk_adjusted,0.2566895278016106,0.0,4,4,True
9434.T,0.0447719840162524,risk_adjusted,-0.8616918377600926,-0.038579653187130025,4,4,True
5401.T,0.1221420461512548,risk_adjusted,-0.43586807398350674,-0.053237818408352025,4,4,True
4755.T,0.1533615329845646,risk_adjusted,-1.1335926633911142,-0.17384950863771678,4,4,True
