symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
4755.T,0.1580588360736762,fundamental,0.0,0.0,10,7,True
5401.T,0.1239348754379024,fundamental,0.0,0.0,10,7,True
7201.T,0.0724558465295548,fundamental,0.0,0.0,10,7,True
9434.T,0.0445914332234344,fundamental,0.0,0.0,10,7,True
9432.T,0.0326375782505583,fundamental,0.0,0.0,10,7,True
5411.T,0.0,fundamental,0.0,0.0,10,7,True
7751.T,0.0,fundamental,0.0,0.0,10,7,True
7733.T,0.0,fundamental,0.0,0.0,10,7,True
5020.T,0.0,fundamental,0.0,0.0,10,7,True
9202.T,0.0,fundamental,0.0,0.0,10,7,True
6988.T,0.0,fundamental,0.0,0.0,10,7,True
2503.T,0.0,fundamental,0.0,0.0,10,7,True
8830.T,0.0,fundamental,0.0,0.0,10,7,True
7832.T,0.0,fundamental,0.0,0.0,10,7,True
6506.T,0.0,fundamental,0.0,0.0,10,7,True
9020.T,0.0,fundamental,0.0,0.0,10,7,True
3659.T,0.0,fundamental,0.0,0.0,10,7,True
8697.T,0.0,fundamental,0.0,0.0,10,7,True
6326.T,0.0,fundamental,0.0,0.0,10,7,True
9503.T,0.0,fundamental,0.0,0.0,10,7,True
2502.T,0.0,fundamental,0.0,0.0,10,7,True
9502.T,0.0,fundamental,0.0,0.0,10,7,True
9501.T,0.0,fundamental,0.0,0.0,10,7,True
6723.T,0.0,fundamental,0.0,0.0,10,7,True
9201.T,0.0,fundamental,0.0,0.0,10,7,True
8306.T,0.0,fundamental,0.0,0.0,10,7,True
7011.T,0.0,fundamental,0.0,0.0,10,7,True
3382.T,0.0,fundamental,0.0,0.0,10,7,True
6758.T,0.0,fundamental,0.0,0.0,10,7,True
7203.T,0.0,fundamental,0.0,0.0,10,7,True
6501.T,0.0,fundamental,0.0,0.0,10,7,True
1605.T,0.0,fundamental,0.0,0.0,10,7,True
7267.T,0.0,fundamental,0.0,0.0,10,7,True
6702.T,0.0,fundamental,0.0,0.0,10,7,True
8001.T,0.0,fundamental,0.0,0.0,10,7,True
4568.T,0.0,fundamental,0.0,0.0,10,7,True
9433.T,0.0,fundamental,0.0,0.0,10,7,True
9107.T,0.0,fundamental,0.0,0.0,10,7,True
6752.T,0.0,fundamental,0.0,0.0,10,7,True
8591.T,0.0,fundamental,0.0,0.0,10,7,True
7269.T,0.0,fundamental,0.0,0.0,10,7,True
4901.T,0.0,fundamental,0.0,0.0,10,7,True
8725.T,0.0,fundamental,0.0,0.0,10,7,True
8801.T,0.0,fundamental,0.0,0.0,10,7,True
4503.T,0.0,fundamental,0.0,0.0,10,7,True
8802.T,0.0,fundamental,0.0,0.0,10,7,True
8604.T,0.0,fundamental,0.0,0.0,10,7,True
8267.T,0.0,fundamental,0.0,0.0,10,7,True
7270.T,0.0,fundamental,0.0,0.0,10,7,True
4661.T,0.0,fundamental,0.0,0.0,10,7,True
7201.T,0.0724558465295548,price,0.34631367466035,0.02509245046227649,15,15,True
9432.T,0.0326375782505583,price,0.09544486596243076,0.0031150892814628822,15,15,True
5411.T,0.0,price,-0.6936705197018062,-0.0,15,15,True
7751.T,0.0,price,-0.37006775613105203,-0.0,15,15,True
7733.T,0.0,price,0.43976942953086734,0.0,15,15,True
5020.T,0.0,price,1.4270307089183893,0.0,15,15,True
9202.T,0.0,price,-0.29518769223012986,-0.0,15,15,True
6988.T,0.0,price,-0.41178486459444985,-0.0,15,15,True
2503.T,0.0,price,0.15734740590312665,0.0,15,15,True
8830.T,0.0,price,0.5966677252150935,0.0,15,15,True
7832.T,0.0,price,-0.8932909711694458,-0.0,15,15,True
6506.T,0.0,price,-0.26869071820424056,-0.0,15,15,True
9020.T,0.0,price,-0.4909408752537327,-0.0,15,15,True
3659.T,0.0,price,-0.8024932662777206,-0.0,15,15,True
8697.T,0.0,price,-0.05835874903442953,-0.0,15,15,True
6326.T,0.0,price,0.4139629439965881,0.0,15,15,True
9503.T,0.0,price,-0.0859226277538266,-0.0,15,15,True
2502.T,0.0,price,-0.6435446116681363,-0.0,15,15,True
