symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
5401.T,0.1228541994908937,fundamental,0.3743019726479692,0.045984569217528644,10,10,True
7201.T,0.0727448299388116,fundamental,0.041428617952942726,0.0030137177675868157,10,10,True
9432.T,0.0330275844521752,fundamental,0.06598336153019554,0.0021792710453769413,10,10,True
5411.T,0.0,fundamental,0.5057079248449352,0.0,10,10,True
7751.T,0.0,fundamental,0.13649026257149202,0.0,10,10,True
7733.T,0.0,fundamental,-0.11911998081465347,-0.0,10,10,True
5020.T,0.0,fundamental,-0.002905299055497054,-0.0,10,10,True
9202.T,0.0,fundamental,0.022937110291285152,0.0,10,10,True
6988.T,0.0,fundamental,0.4880074525769345,0.0,10,10,True
2503.T,0.0,fundamental,-0.003191817286030574,-0.0,10,10,True
8830.T,0.0,fundamental,-0.18332244805836537,-0.0,10,10,True
7832.T,0.0,fundamental,-0.20308184888090725,-0.0,10,10,True
6506.T,0.0,fundamental,-0.22696237215754117,-0.0,10,10,True
9020.T,0.0,fundamental,-0.0698681130967926,-0.0,10,10,True
3659.T,0.0,fundamental,-0.0145289578886014,-0.0,10,10,True
8697.T,0.0,fundamental,-0.055121129253945064,-0.0,10,10,True
6326.T,0.0,fundamental,-0.0074344145431637365,-0.0,10,10,True
9503.T,0.0,fundamental,0.04123095738254479,0.0,10,10,True
2502.T,0.0,fundamental,0.15606613137724978,0.0,10,10,True
9502.T,0.0,fundamental,0.05721923019850408,0.0,10,10,True
9501.T,0.0,fundamental,0.0023438699313075295,0.0,10,10,True
6723.T,0.0,fundamental,-0.15970513982054468,-0.0,10,10,True
9201.T,0.0,fundamental,0.20440340241790517,0.0,10,10,True
8306.T,0.0,fundamental,0.00433765849448608,0.0,10,10,True
7011.T,0.0,fundamental,-0.3228904014131859,-0.0,10,10,True
3382.T,0.0,fundamental,-0.025224086509131372,-0.0,10,10,True
6758.T,0.0,fundamental,0.2657686911278728,0.0,10,10,True
7203.T,0.0,fundamental,-0.402883600489983,-0.0,10,10,True
6501.T,0.0,fundamental,-0.24027771391919323,-0.0,10,10,True
1605.T,0.0,fundamental,0.023491002235572614,0.0,10,10,True
7267.T,0.0,fundamental,-0.14266042991636077,-0.0,10,10,True
6702.T,0.0,fundamental,-0.1686795773660216,-0.0,10,10,True
8001.T,0.0,fundamental,-0.1109673369824177,-0.0,10,10,True
4568.T,0.0,fundamental,-0.06369086750226467,-0.0,10,10,True
9433.T,0.0,fundamental,0.007928439965205581,0.0,10,10,True
9107.T,0.0,fundamental,0.24736304462106004,0.0,10,10,True
6752.T,0.0,fundamental,-0.08834991600041428,-0.0,10,10,True
8591.T,0.0,fundamental,0.16150797434721204,0.0,10,10,True
7269.T,0.0,fundamental,-0.1561712741430115,-0.0,10,10,True
4901.T,0.0,fundamental,0.03886800279011558,0.0,10,10,True
8725.T,0.0,fundamental,0.05128839459499549,0.0,10,10,True
8801.T,0.0,fundamental,0.26482442801308603,0.0,10,10,True
4503.T,0.0,fundamental,-0.046760351767128616,-0.0,10,10,True
8802.T,0.0,fundamental,-0.0815019799547204,-0.0,10,10,True
8604.T,0.0,fundamental,0.21227608458083544,0.0,10,10,True
8267.T,0.0,fundamental,-0.23789814029923434,-0.0,10,10,True
7270.T,0.0,fundamental,0.17927950597638137,0.0,10,10,True
4661.T,0.0,fundamental,-0.29804061602473586,-0.0,10,10,True
9434.T,0.0453130031172876,fundamental,-0.07391180149540108,-0.0033491656915654515,10,10,True
4755.T,0.154977209357237,fundamental,-0.04790390583084005,-0.007424013642975465,10,10,True
7201.T,0.0727448299388116,price,0.7516805716635315,0.054680875353972286,15,15,True
5411.T,0.0,price,-0.7310489443350331,-0.0,15,15,True
7751.T,0.0,price,-0.22195957535975053,-0.0,15,15,True
7733.T,0.0,price,0.17866819183943944,0.0,15,15,True
5020.T,0.0,price,1.0818452743148146,0.0,15,15,True
9202.T,0.0,price,-0.10184466361052949,-0.0,15,15,True
6988.T,0.0,price,-0.6883921519816787,-0.0,15,15,True
2503.T,0.0,price,0.5029586741581956,0.0,15,15,True
8830.T,0.0,price,0.5636486654774175,0.0,15,15,True
7832.T,0.0,price,-0.8455483967611179,-0.0,15,15,True
6506.T,0.0,price,-0.40540123819813717,-0.0,15,15,True
9020.T,0.0,price,-0.27973222555299126,-0.0,15,15,True
3659.T,0.0,price,-0.7717445360706953,-0.0,15,15,True
8697.T,0.0,price,0.10557677669304727,0.0,15,15,True
6326.T,0.0,price,0.056093528180647036,0.0,15,15,True
9503.T,0.0,price,-0.08526937957838475,-0.0,15,15,True
2502.T,0.0,price,-0.2191453011026781,-0.0,15,15,True
9502.T,0.0,price,0.472306066190973,0.0,15,15,True
9501.T,0.0,price,-0.3870366866125888,-0.0,15,15,True
6723.T,0.0,price,-0.03030730758774321,-0.0,15,15,True
9201.T,0.0,price,-0.16416182626513845,-0.0,15,15,True
8306.T,0.0,price,0.5083848318938128,0.0,15,15,True
7011.T,0.0,price,0.9052171574782535,0.0,15,15,True
3382.T,0.0,price,0.3128242382635659,0.0,15,15,True
6758.T,0.0,price,-0.5900722425959767,-0.0,15,15,True
7203.T,0.0,price,0.6932047343555797,0.0,15,15,True
6501.T,0.0,price,-0.26795379304223604,-0.0,15,15,True
1605.T,0.0,price,1.29309345583278,0.0,15,15,True
7267.T,0.0,price,-0.5572760044940833,-0.0,15,15,True
6702.T,0.0,price,-0.5780013896195427,-0.0,15,15,True
8001.T,0.0,price,0.039040363116571795,0.0,15,15,True
4568.T,0.0,price,-0.3725188026947363,-0.0,15,15,True
9433.T,0.0,price,0.7566943302983427,0.0,15,15,True
9107.T,0.0,price,0.9102007889971166,0.0,15,15,True
6752.T,0.0,price,1.1263497751862863,0.0,15,15,True
8591.T,0.0,price,0.015422723143814017,0.0,15,15,True
7269.T,0.0,price,-0.4586296384852588,-0.0,15,15,True
4901.T,0.0,price,0.08104274952816433,0.0,15,15,True
8725.T,0.0,price,0.1974212917622752,0.0,15,15,True
8801.T,0.0,price,-0.9378288399379863,-0.0,15,15,True
4503.T,0.0,price,0.9353555643867704,0.0,15,15,True
8802.T,0.0,price,0.37418017446056867,0.0,15,15,True
8604.T,0.0,price,0.28495164646967613,0.0,15,15,True
8267.T,0.0,price,-0.5257842133385542,-0.0,15,15,True
7270.T,0.0,price,-0.42897966303976803,-0.0,15,15,True
4661.T,0.0,price,-0.496944272697289,-0.0,15,15,True
9432.T,0.0330275844521752,price,-0.3053006541264913,-0.010083343137467022,15,15,True
