symbol,target_weight,family,family_score,weighted_contribution,factor_count_configured,factor_count_active,is_active_in_mode
7201.T,0.0747544860003652,fundamental,0.041428617952942726,0.0030969750407777354,10,10,True
9432.T,0.0332008402034165,fundamental,0.06598336153019554,0.002190703042248282,10,10,True
7751.T,0.0,fundamental,0.13649026257149202,0.0,10,10,True
7733.T,0.0,fundamental,-0.11911998081465347,-0.0,10,10,True
5020.T,0.0,fundamental,-0.002905299055497054,-0.0,10,10,True
9202.T,0.0,fundamental,0.022937110291285152,0.0,10,10,True
6988.T,0.0,fundamental,0.4880074525769345,0.0,10,10,True
2503.T,0.0,fundamental,-0.003191817286030574,-0.0,10,10,True
8830.T,0.0,fundamental,-0.18332244805836537,-0.0,10,10,True
7832.T,0.0,fundamental,-0.20308184888090725,-0.0,10,10,True
5411.T,0.0,fundamental,0.5057079248449352,0.0,10,10,True
9020.T,0.0,fundamental,-0.0698681130967926,-0.0,10,10,True
6506.T,0.0,fundamental,-0.22696237215754117,-0.0,10,10,True
9434.T,0.0,fundamental,-0.07391180149540108,-0.0,10,10,True
3659.T,0.0,fundamental,-0.0145289578886014,-0.0,10,10,True
8697.T,0.0,fundamental,-0.055121129253945064,-0.0,10,10,True
6326.T,0.0,fundamental,-0.0074344145431637365,-0.0,10,10,True
9503.T,0.0,fundamental,0.04123095738254479,0.0,10,10,True
2502.T,0.0,fundamental,0.15606613137724978,0.0,10,10,True
9502.T,0.0,fundamental,0.05721923019850408,0.0,10,10,True
9501.T,0.0,fundamental,0.0023438699313075295,0.0,10,10,True
5401.T,0.0,fundamental,0.3743019726479692,0.0,10,10,True
6723.T,0.0,fundamental,-0.15970513982054468,-0.0,10,10,True
4755.T,0.0,fundamental,-0.04790390583084005,-0.0,10,10,True
9201.T,0.0,fundamental,0.20440340241790517,0.0,10,10,True
8306.T,0.0,fundamental,0.00433765849448608,0.0,10,10,True
7011.T,0.0,fundamental,-0.3228904014131859,-0.0,10,10,True
3382.T,0.0,fundamental,-0.025224086509131372,-0.0,10,10,True
6758.T,0.0,fundamental,0.2657686911278728,0.0,10,10,True
7203.T,0.0,fundamental,-0.402883600489983,-0.0,10,10,True
6501.T,0.0,fundamental,-0.24027771391919323,-0.0,10,10,True
1605.T,0.0,fundamental,0.023491002235572614,0.0,10,10,True
7267.T,0.0,fundamental,-0.14266042991636077,-0.0,10,10,True
6702.T,0.0,fundamental,-0.1686795773660216,-0.0,10,10,True
8001.T,0.0,fundamental,-0.1109673369824177,-0.0,10,10,True
4568.T,0.0,fundamental,-0.06369086750226467,-0.0,10,10,True
9433.T,0.0,fundamental,0.007928439965205581,0.0,10,10,True
9107.T,0.0,fundamental,0.24736304462106004,0.0,10,10,True
6752.T,0.0,fundamental,-0.08834991600041428,-0.0,10,10,True
8591.T,0.0,fundamental,0.16150797434721204,0.0,10,10,True
7269.T,0.0,fundamental,-0.1561712741430115,-0.0,10,10,True
4901.T,0.0,fundamental,0.03886800279011558,0.0,10,10,True
8725.T,0.0,fundamental,0.05128839459499549,0.0,10,10,True
8801.T,0.0,fundamental,0.26482442801308603,0.0,10,10,True
4503.T,0.0,fundamental,-0.046760351767128616,-0.0,10,10,True
8802.T,0.0,fundamental,-0.0815019799547204,-0.0,10,10,True
8604.T,0.0,fundamental,0.21227608458083544,0.0,10,10,True
8267.T,0.0,fundamental,-0.23789814029923434,-0.0,10,10,True
7270.T,0.0,fundamental,0.17927950597638137,0.0,10,10,True
4661.T,0.0,fundamental,-0.29804061602473586,-0.0,10,10,True
7201.T,0.0747544860003652,price,0.8281623537487561,0.06190885107934088,15,15,True
7751.T,0.0,price,-0.16390316814709496,-0.0,15,15,True
7733.T,0.0,price,0.28431892404124787,0.0,15,15,True
5020.T,0.0,price,1.2183668326625827,0.0,15,15,True
9202.T,0.0,price,-0.05043038652603178,-0.0,15,15,True
6988.T,0.0,price,-0.42979794618773454,-0.0,15,15,True
2503.T,0.0,price,0.16718793651067762,0.0,15,15,True
8830.T,0.0,price,0.49266599702668473,0.0,15,15,True
7832.T,0.0,price,-0.6667406568036938,-0.0,15,15,True
5411.T,0.0,price,-0.5626527278517679,-0.0,15,15,True
9020.T,0.0,price,-0.6130861938335634,-0.0,15,15,True
6506.T,0.0,price,-0.09902246110003908,-0.0,15,15,True
9434.T,0.0,price,-0.1543841076289172,-0.0,15,15,True
3659.T,0.0,price,-0.6716965799675381,-0.0,15,15,True
8697.T,0.0,price,0.08780511124034038,0.0,15,15,True
6326.T,0.0,price,0.16688853620546681,0.0,15,15,True
9503.T,0.0,price,-0.07249507251707879,-0.0,15,15,True
2502.T,0.0,price,-0.036869428928731816,-0.0,15,15,True
9502.T,0.0,price,0.5007733370801419,0.0,15,15,True
9501.T,0.0,price,-0.428278264563063,-0.0,15,15,True
5401.T,0.0,price,-0.44482719425009054,-0.0,15,15,True
6723.T,0.0,price,-0.17249420504625862,-0.0,15,15,True
4755.T,0.0,price,-0.6396974052903903,-0.0,15,15,True
9201.T,0.0,price,-0.3371493008892903,-0.0,15,15,True
8306.T,0.0,price,0.35877621573264473,0.0,15,15,True
7011.T,0.0,price,0.8176874297985938,0.0,15,15,True
3382.T,0.0,price,0.2795279732522245,0.0,15,15,True
6758.T,0.0,price,-0.643245946239404,-0.0,15,15,True
7203.T,0.0,price,0.50708960012653,0.0,15,15,True
6501.T,0.0,price,0.1330426743691703,0.0,15,15,True
1605.T,0.0,price,1.4493781776029695,0.0,15,15,True
7267.T,0.0,price,-0.6605558997842906,-0.0,15,15,True
6702.T,0.0,price,-0.6354439049888131,-0.0,15,15,True
8001.T,0.0,price,0.05033827038650176,0.0,15,15,True
4568.T,0.0,price,-0.6773436936064047,-0.0,15,15,True
9433.T,0.0,price,0.6199706128395845,0.0,15,15,True
9107.T,0.0,price,0.5342771372621727,0.0,15,15,True
6752.T,0.0,price,0.8702946855197505,0.0,15,15,True
8591.T,0.0,price,0.02197499102732484,0.0,15,15,True
7269.T,0.0,price,-0.4059609414707109,-0.0,15,15,True
4901.T,0.0,price,0.0798263769922867,0.0,15,15,True
8725.T,0.0,price,0.2544118431491991,0.0,15,15,True
8801.T,0.0,price,-0.8412829115909038,-0.0,15,15,True
4503.T,0.0,price,0.7730752594993537,0.0,15,15,True
8802.T,0.0,price,0.34861691456421934,0.0,15,15,True
8604.T,0.0,price,0.359087919606812,0.0,15,15,True
8267.T,0.0,price,-0.45075354382457306,-0.0,15,15,True
7270.T,0.0,price,-0.26873511262028366,-0.0,15,15,True
4661.T,0.0,price,-0.611111551377895,-0.0,15,15,True
9432.T,0.0332008402034165,price,-0.4655865052106677,-0.015457863160366523,15,15,True
7201.T,0.0747544860003652,risk_adjusted,0.5301892803607469,0.039634027136271156,4,4,True
7751.T,0.0,risk_adjusted,0.695192218970209,0.0,4,4,True
7733.T,0.0,risk_adjusted,-0.18159725248076253,-0.0,4,4,True
5020.T,0.0,risk_adjusted,0.8277842368229699,0.0,4,4,True
9202.T,0.0,risk_adjusted,-0.12783962272072635,-0.0,4,4,True
6988.T,0.0,risk_adjusted,-0.7824987399213927,-0.0,4,4,True
2503.T,0.0,risk_adjusted,0.6059468994687631,0.0,4,4,True
8830.T,0.0,risk_adjusted,0.7673992525519693,0.0,4,4,True
7832.T,0.0,risk_adjusted,-0.26322890659389636,-0.0,4,4,True
5411.T,0.0,risk_adjusted,-0.30742716232173073,-0.0,4,4,True
9020.T,0.0,risk_adjusted,-0.2930472248687728,-0.0,4,4,True
6506.T,0.0,risk_adjusted,-0.3333528813969636,-0.0,4,4,True
9434.T,0.0,risk_adjusted,0.39790927542013343,0.0,4,4,True
3659.T,0.0,risk_adjusted,-1.4379598083874672,-0.0,4,4,True
8697.T,0.0,risk_adjusted,0.06853607172849879,0.0,4,4,True
6326.T,0.0,risk_adjusted,-0.12581888276026443,-0.0,4,4,True
9503.T,0.0,risk_adjusted,0.19102937785954832,0.0,4,4,True
2502.T,0.0,risk_adjusted,0.18750228422738163,0.0,4,4,True
9502.T,0.0,risk_adjusted,0.8711849976146582,0.0,4,4,True
9501.T,0.0,risk_adjusted,-1.0622143754742064,-0.0,4,4,True
5401.T,0.0,risk_adjusted,-0.5494526919073941,-0.0,4,4,True
6723.T,0.0,risk_adjusted,-0.23438245186246415,-0.0,4,4,True
4755.T,0.0,risk_adjusted,-1.1619516446605407,-0.0,4,4,True
9201.T,0.0,risk_adjusted,-0.414514057887598,-0.0,4,4,True
8306.T,0.0,risk_adjusted,0.5670595526036041,0.0,4,4,True
7011.T,0.0,risk_adjusted,0.5043935283713192,0.0,4,4,True
3382.T,0.0,risk_adjusted,0.5969161043556465,0.0,4,4,True
6758.T,0.0,risk_adjusted,-0.8143018844252944,-0.0,4,4,True
7203.T,0.0,risk_adjusted,1.1072279360200872,0.0,4,4,True
6501.T,0.0,risk_adjusted,-0.2217142738812284,-0.0,4,4,True
1605.T,0.0,risk_adjusted,1.1474511691227758,0.0,4,4,True
7267.T,0.0,risk_adjusted,-0.3498729995189716,-0.0,4,4,True
6702.T,0.0,risk_adjusted,-0.937557566560397,-0.0,4,4,True
8001.T,0.0,risk_adjusted,0.19762617355486045,0.0,4,4,True
4568.T,0.0,risk_adjusted,-0.7197126970031474,-0.0,4,4,True
9433.T,0.0,risk_adjusted,-0.3766876462693941,-0.0,4,4,True
9107.T,0.0,risk_adjusted,0.7953613661995245,0.0,4,4,True
6752.T,0.0,risk_adjusted,1.392343014940543,0.0,4,4,True
8591.T,0.0,risk_adjusted,-0.12323418511611105,-0.0,4,4,True
7269.T,0.0,risk_adjusted,-0.8054061948738136,-0.0,4,4,True
4901.T,0.0,risk_adjusted,0.05256995681745344,0.0,4,4,True
8725.T,0.0,risk_adjusted,0.35712010508049313,0.0,4,4,True
8801.T,0.0,risk_adjusted,-0.9986868433259859,-0.0,4,4,True
4503.T,0.0,risk_adjusted,1.3141232365651367,0.0,4,4,True
8802.T,0.0,risk_adjusted,0.2312875907740168,0.0,4,4,True
8604.T,0.0,risk_adjusted,0.24720160971420976,0.0,4,4,True
8267.T,0.0,risk_adjusted,-0.6381997268135632,-0.0,4,4,True
7270.T,0.0,risk_adjusted,-0.4821380219880484,-0.0,4,4,True
4661.T,0.0,risk_adjusted,0.1106641330263252,0.0,4,4,True
9432.T,0.0332008402034165,risk_adjusted,-0.021221629150739274,-0.0007045759182898601,4,4,True
