date,ticker,sent,weight,conf
2021-03-24,1306.T,-0.7862,2.0209,0.5364
2021-03-24,1306.T,-0.7884,1.3431,0.4639
2021-03-24,1306.T,-0.726,2.6592,0.6592
2021-03-25,1306.T,0.2525,0.7224,0.4246
2021-03-26,1306.T,-0.0423,1.8123,0.6481
2021-03-31,1306.T,0.5049,1.657,0.45
2021-04-01,1306.T,-0.1183,2.1698,0.2858
2021-04-06,1306.T,-0.2853,0.3604,0.3359
2021-04-15,1306.T,-0.0557,0.3842,0.678
2021-04-26,1306.T,-0.7285,1.3769,0.2668
2021-05-06,1306.T,0.3199,1.2095,0.5067
2021-05-06,1306.T,0.2492,1.0176,0.9037
2021-05-07,1306.T,0.6796,0.3864,0.5911
2021-05-07,1306.T,0.3897,0.8371,0.3027
2021-05-21,1306.T,-0.1533,0.2619,0.4866
2021-05-21,1306.T,0.2548,2.195,0.7325
2021-06-04,1306.T,-0.3024,0.3597,0.6112
2021-06-14,1306.T,0.5778,3.9707,0.3538
2021-06-14,1306.T,0.4919,0.4888,0.6993
2021-06-14,1306.T,0.1182,3.0833,0.9419
2021-06-17,1306.T,-0.0918,0.7694,0.5346
2021-06-17,1306.T,-0.1659,0.836,0.8321
2021-06-17,1306.T,0.1576,7.4931,0.8421
2021-06-21,1306.T,-0.7875,0.5926,0.4259
2021-07-01,1306.T,-0.4394,0.7448,0.8256
2021-07-01,1306.T,0.2427,1.416,0.8243
2021-07-01,1306.T,-0.1226,1.2041,0.3571
2021-07-08,1306.T,0.2324,3.5208,0.8473
2021-07-09,1306.T,-0.292,1.4384,0.3778
2021-07-13,1306.T,0.0252,1.1517,0.9212
2021-07-13,1306.T,0.7126,0.2931,0.7321
2021-07-13,1306.T,-0.009,2.8293,0.5027
2021-07-27,1306.T,0.43,1.8234,0.9517
2021-07-27,1306.T,-0.3902,0.6606,0.8669
2021-07-30,1306.T,0.3637,1.6274,0.1859
2021-08-05,1306.T,0.5367,1.3427,0.5929
2021-08-16,1306.T,-0.0839,3.2712,0.456
2021-08-16,1306.T,-0.0361,2.8955,0.6347
2021-08-18,1306.T,0.1691,0.2775,0.5679
2021-08-18,1306.T,-0.1058,1.2473,0.5416
2021-08-24,1306.T,-0.0371,0.8662,0.713
2021-08-25,1306.T,0.4107,0.203,0.9102
2021-09-02,1306.T,0.4129,2.9531,0.7361
