family,factor_name,ic_mean,t_stat,guard,n_observations,production_eligible,recommended_action,exclusion_reason
fundamental,accruals_inv,0.0,0.0,,0,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,cfo_assets,0.0,0.0,,0,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,dividend_yield,0.0,0.0,,0,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,growth_op_yoy,0.0,0.0,,0,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,growth_rev_yoy,0.0,0.0,,0,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,guidance_delta,0.0,0.0,,0,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,leverage_safety,0.0,0.0,,0,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,margin_op,0.0,0.0,,0,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,roa_op,0.0,0.0,,0,False,exclude_from_production,insufficient_observations_and_guard_fail
fundamental,value_bp,0.0,0.0,,0,False,exclude_from_production,insufficient_observations_and_guard_fail
risk_adjusted,sharpe_20,0.06079771174320672,0.780921,FAIL,2,False,exclude_from_production,insufficient_observations_and_guard_fail
risk_adjusted,sharpe_60,0.07657374052903146,1.679702,PASS,225,True,keep,eligible
risk_adjusted,sortino_60,0.04521072796934866,1.341873,FAIL,2,False,exclude_from_production,insufficient_observations_and_guard_fail
risk_adjusted,vol_stability,0.1947578438123488,0.384696,FAIL,2,False,exclude_from_production,insufficient_observations_and_guard_fail
technical,ma_gap,0.01718964944239371,1.664641,PASS,105,True,keep,eligible
technical,mom_consist,0.010696102261510115,2.697631,PASS,273,True,keep,eligible
technical,ret20,0.030052345788930374,0.866219,FAIL,50,False,exclude_from_production,insufficient_observations_and_guard_fail
technical,rsi14,0.02694153013332967,0.202965,FAIL,50,False,exclude_from_production,insufficient_observations_and_guard_fail
technical,slope60,0.017675099531606245,1.15282,FAIL,50,False,exclude_from_production,insufficient_observations_and_guard_fail
technical,vol_adj_mom20,0.03311356044042312,0.886035,FAIL,50,False,exclude_from_production,insufficient_observations_and_guard_fail
