signal,group,group_col,periods,avg_xs_n,ic_mean,ic_std,t_stat
high52w,low,high52w_bucket,23,10.0,0.13096179183135703,0.3413352119702294,1.8400407212283723
high52w,mid,high52w_bucket,23,10.0,-0.08959155787271653,0.30486904687720334,1.4093461499938127
high52w,high,high52w_bucket,22,10.0,0.08225547878757994,0.32473423815281516,1.188086591151282
high52w,Auto,sector,23,5.0,0.11470911919833392,0.4324108205675587,1.2722290555558746
high52w,mid,vol_bucket,23,10.0,0.1413914477376865,0.30435641627969806,2.227945677885981
high52w,low,vol_bucket,23,10.0,0.08645286514213064,0.42551838938844827,0.9743724037995458
high52w,high,vol_bucket,23,10.0,0.04155299392224049,0.3653212249475788,0.5454957022245239
mom_12_1,high,high52w_bucket,23,10.0,0.029249011857707514,0.31525108477718156,0.44495749536305623
mom_12_1,low,high52w_bucket,23,10.0,-0.027140974967061925,0.3645349878747062,0.35706735334062173
mom_12_1,mid,high52w_bucket,23,10.0,0.010803689064558626,0.3221625956594684,0.1608277102368708
mom_12_1,Auto,sector,23,5.0,0.021739130434782605,0.5617956627900207,0.18557851890626825
mom_12_1,mid,vol_bucket,23,10.0,0.10144927536231883,0.19126296659332814,2.5437942402845324
mom_12_1,high,vol_bucket,23,10.0,-0.0782608695652174,0.3629590224053852,1.0340725044259593
mom_12_1,low,vol_bucket,23,10.0,0.039789196310935436,0.4087431346115647,0.46685134451641336
pred_return,mid,high52w_bucket,23,10.0,-0.1046113306982872,0.33703877639672164,1.4885477654001396
pred_return,high,high52w_bucket,23,10.0,-0.02134387351778657,0.31230532740852096,0.32776136832370767
pred_return,low,high52w_bucket,23,10.0,-0.009222661396574437,0.3366388721402391,0.13138806571365072
pred_return,Auto,sector,23,5.0,0.09565217391304347,0.49473599535911034,0.9272252579733726
pred_return,mid,vol_bucket,23,10.0,-0.03926218708827402,0.25782980304630904,0.7303067073216759
pred_return,high,vol_bucket,23,10.0,-0.036100131752305635,0.3705253393007048,0.4672558972085407
pred_return,low,vol_bucket,23,10.0,0.029776021080368906,0.36502988606662523,0.3912029836099318
rsi14,low,high52w_bucket,23,10.0,0.11673254281949932,0.3574047396636729,1.5663743272599597
rsi14,mid,high52w_bucket,23,10.0,0.03978919631093546,0.30656086166026686,0.6224613309142285
rsi14,high,high52w_bucket,23,10.0,0.01712779973649537,0.3546705506543487,0.23160096531759963
rsi14,Auto,sector,23,5.0,0.017391304347826094,0.5568952550900186,0.14976921577352623
rsi14,low,vol_bucket,23,10.0,0.14308300395256915,0.32898463663527544,2.0858177081586895
rsi14,mid,vol_bucket,23,10.0,0.11778656126482209,0.3055172054796815,1.8489449805274765
rsi14,high,vol_bucket,23,10.0,0.054018445322793165,0.33717471816975464,0.7683356697846113
shadow_eq_composite,low,high52w_bucket,23,10.0,0.16258234519104084,0.35152265756337037,2.218114592117696
shadow_eq_composite,mid,high52w_bucket,23,10.0,0.06086956521739131,0.35576674784821943,0.8205381234910868
shadow_eq_composite,high,high52w_bucket,23,10.0,-0.007114624505928862,0.31034982032520503,0.1099421950568976
shadow_eq_composite,Auto,sector,23,5.0,0.00869565217391306,0.5800397613644301,0.07189659328408304
shadow_eq_composite,low,vol_bucket,23,10.0,0.17733860342555993,0.3703086470544501,2.2966951254678585
shadow_eq_composite,mid,vol_bucket,23,10.0,0.12779973649538864,0.329799996707116,1.85841725614068
shadow_eq_composite,high,vol_bucket,23,10.0,0.06139657444005269,0.34184744802167505,0.8613421829738246
shadow_ic_composite,low,high52w_bucket,23,10.0,0.1594202898550725,0.34443106960947734,2.2197557624794784
shadow_ic_composite,mid,high52w_bucket,23,10.0,0.06403162055335967,0.3610086263360993,0.8506302673573919
shadow_ic_composite,high,high52w_bucket,23,10.0,-0.005533596837944657,0.30850347466218037,0.08602236387054835
shadow_ic_composite,Auto,sector,23,5.0,0.00869565217391306,0.5800397613644301,0.07189659328408304
shadow_ic_composite,low,vol_bucket,23,10.0,0.16100131752305663,0.3734803967780895,2.0674048772919518
shadow_ic_composite,mid,vol_bucket,23,10.0,0.12674571805006582,0.3287912511122087,1.8487447826340315
shadow_ic_composite,high,vol_bucket,23,10.0,0.0587615283267457,0.34169385783546175,0.8247452608385558
vol_adj_mom20,high,high52w_bucket,23,10.0,-0.06350461133069828,0.2728055490960083,1.1163901097492053
vol_adj_mom20,low,high52w_bucket,23,10.0,0.05559947299077734,0.38907774256025085,0.6853275735952757
vol_adj_mom20,mid,high52w_bucket,23,10.0,0.019235836627140977,0.29350865400557874,0.31430702439180097
vol_adj_mom20,Auto,sector,23,5.0,-0.026086956521739105,0.5285068312703562,0.23672096751053295
vol_adj_mom20,low,vol_bucket,23,10.0,0.1636363636363636,0.32101567562921374,2.4446545470071688
vol_adj_mom20,mid,vol_bucket,23,10.0,0.12516469038208167,0.33867139677554464,1.7724223936687904
vol_adj_mom20,high,vol_bucket,23,10.0,-0.0013175230566534976,0.38366850536392716,0.016468953066128462
