signal,group,group_col,periods,avg_xs_n,ic_mean,ic_std,t_stat
shadow_eq_composite,all,overall,23,30.0,0.1292934178072254,0.25218958825508575,2.4587432541011296
shadow_ic_composite,all,overall,23,30.0,0.1264303332204865,0.254732297995622,2.380297207432099
mom_consist,all,overall,23,30.0,0.12184053972572108,0.2695063465715759,2.168137072344834
rsi14,all,overall,23,30.0,0.09803162934661701,0.22343698866924017,2.1041421167655447
vol_adj_mom20,all,overall,23,30.0,0.09124147603617545,0.2148252642895855,2.036905428488215
ret20,all,overall,23,30.0,0.09193790201673357,0.2306007078943292,1.9120439512316418
slope60,all,overall,23,30.0,0.09986942012864534,0.2702448114592608,1.7723075262080341
high52w,all,overall,23,30.0,0.09898056707885694,0.3006666794195879,1.5788052228085563
z_20,all,overall,23,30.0,0.05980558108042753,0.18348318477287293,1.5631813420428138
pred_return,all,overall,23,30.0,-0.06742757653431349,0.22206358412608518,1.4562103838702118
ret60,all,overall,23,30.0,0.08195579629540069,0.282359641869876,1.3920055599617587
ma_gap,all,overall,23,30.0,0.04649610678531702,0.32581834728591985,0.6843920745711
ret5,all,overall,23,30.0,0.023049765439860714,0.17638191764308528,0.626724060938804
ret1,all,overall,23,30.0,0.018002836826519292,0.18722717406781367,0.46114338258614374
vol_z,all,overall,23,30.0,0.0197417420322097,0.23621914922294196,0.4008060695952405
vol60,all,overall,23,30.0,-0.013473908207186724,0.19023777487360116,0.33967277931621254
mom_12_1,all,overall,23,30.0,0.014537892344150505,0.2444387721575594,0.2852300466542311
vol20,all,overall,23,30.0,-0.009508149151230832,0.18029834521488983,0.25291125868894604
